"あいかわらず";"aikawarazu";"seperti biasanya; seperti sebelumnya; seperti biasa; tetap"
"気を付ける";"kiwotsukeru";"untuk berhati-hati; Untuk memperhatikan; untuk mengurus"
"金魚";"kingyo";"ikan mas (Carassius auratus)"
"ぎしき";"gishiki";"upacara; melayani"
"ぎっしり";"gisshiri";"rapat (dikemas); padat; rapat; penuh sesak"
"行事";"gyouji";"peristiwa; fungsi"
"行列";"gyouretsu";"garis; antre; prosesi; parade, matriks"
"漁業";"gyogyou";"industri perikanan; perikanan"
"区域";"kuiki";"batasan; batas; domain; daerah; bola; wilayah, area (misalnya dalam bahasa pemrograman)"
"空想";"kuusou";"melamun; fantasi; menyukai; penglihatan"
"空中";"kuuchuu";"langit; udara; di udara"
"くぎ";"kugi";"anggota dewan lingkungan ; paku; memakukan; memusatkan; brad; (pachinko) peniti ; pengorbanan; hewan kurban ; arti sebuah frase"
"区切る";"kugiru";"untuk membatasi; untuk membagi (suatu area); untuk menandai; untuk memotong, memberi tanda baca; untuk mengakhiri (misalnya kalimat); untuk menyisipkan jeda atau jeda (misalnya saat membaca dengan suara keras)"
"くし";"kushi";"menggunakan secara bebas; memanfaatkan sepenuhnya; memiliki perintah yang baik untuk, bekerja keras (seseorang); mengemudi (seseorang) terus ; sisir ; alkohol; demi ; meludah; tusuk sate, proxy (server komputer) ; rongga; kerusakan gigi; gigi busuk; karies gigi"
"くしゃみ";"kushami";"bersin, diucapkan dua kali sebagai respons terhadap seseorang yang bersin sebagai jimat melawan kematian dini"
"苦心";"kushin";"rasa sakit; kerja keras; upaya; masalah; tenaga kerja"
"苦情";"kujou";"keluhan; masalah; keberatan"
"薬指";"kusuriyubi";"jari manis; jari ketiga; jari keempat (dalam permainan piano), jari kaki keempat"
"くず";"kuzu";"kudzu (Pueraria montana); Garut Jepang, biji bulan Cina (Sinomenium acutum) ; limbah; membatalkan; sampah; ampas, sampah; sepotong sampah; pecundang"
"くずす";"kuzusu";"untuk menghancurkan; untuk menarik ke bawah; untuk merobohkan; untuk meratakan, mengganggu; untuk membuat kekacauan; untuk kehilangan keseimbangan; untuk membuat gemetar, untuk bersantai (pose seseorang); untuk membuat diri sendiri nyaman, untuk memecahkan (tagihan); Untuk mengganti; membuat perubahan, menulis dengan gaya kursif; menulis dengan gaya berlari, tersenyum; untuk melepaskan senyuman, untuk menurunkan (harga)"
"くずれる";"kuzureru";"runtuh; hancur, tidak berbentuk; kehilangan bentuk; menjadi tidak terorganisir; menjadi tidak rapi, rusak; menjadi kacau, jatuh (pasar saham); merosot; menolak, memecah uang menjadi uang receh, menjadi buruk (misalnya cuaca); untuk berubah menjadi lebih buruk; memburuk"
"くたびれる";"kutabireru";"menjadi lelah; menjadi kelelahan, menjadi letih; menjadi babak belur (karena penggunaan yang lama), menjadi lelah (melakukan); untuk merasa muak"
"くだく";"kudaku";"untuk memecahkan; untuk menghancurkan"
"くだける";"kudakeru";"untuk memecahkan (menjadi beberapa bagian); untuk dipatahkan; untuk dihancurkan, runtuh; hancur lebur; untuk menolak; untuk mendinginkan (misalnya antusiasme); untuk meredam (misalnya keinginan seseorang untuk bertarung), menjadi kurang formal; untuk membuang cadangan; menjadi ramah, menjadi mudah dimengerti (misalnya sebuah cerita), menjadi khawatir"
"くだらない";"kudaranai";"remeh; tidak penting; tidak layak untuk diganggu; tidak berguna, bodoh; tidak masuk akal; absurd; konyol"
"下る";"kudaru ; sagaru";"untuk turun; ke bawah, untuk diturunkan (atas perintah, keputusan, dll.), untuk melewatkan (waktu), untuk menyerah, menjadi kurang dari; menjadi lebih rendah daripada, untuk berlari; mengalami diare, buang air besar (dalam tinja); dikeluarkan dari tubuh, untuk merendahkan diri sendiri; untuk menjadi rendah hati ; untuk turun; ke bawah; terjatuh; untuk menjatuhkan; tenggelam; untuk menurunkan, untuk menggantung; untuk menjuntai, untuk bergerak mundur; untuk mundur; untuk menarik; untuk pensiun, memburuk; untuk jatuh; untuk diturunkan peringkatnya, mendekati masa kini, untuk menuju ke selatan"
"くちびる";"kuchibiru";"bibir"
"口紅";"kuchibeni";"lipstik"
"くっつく";"kuttsuku";"untuk dipatuhi; untuk melekat pada, untuk tetap dekat; untuk ikut serta, terlibat; menjadi kental dengan; menjadi intim"
"くっつける";"kuttsukeru";"untuk melampirkan; untuk tetap bersatu; untuk menempelkan; untuk merekatkan, untuk disatukan; untuk menempatkan berdampingan, untuk membuat seseorang menikah"
"くとうてん";"kutouten";"tanda baca"
"くどい";"kudoi";"ulang; bertele-tele; membosankan; panjang lebar; berkeras; mendesak, berat (rasa); (terlalu) kaya; kuat; menjemukan, mencolok (warna, desain, dll.); keras"
"配る";"kubaru";"untuk mendistribusikan; untuk membagikan; mengantarkan; untuk menangani; untuk melayani, untuk membagikan; untuk mengalokasikan; ke tempat (staf, tentara, dll); ke stasiun"
"工夫";"kufuu ; koufu";"merancang (cara); merancang; mencari tahu; datang dengan; berolahraga; menemukan, perangkat; desain; ide; rencana; penemuan, pengabdian pada peningkatan spiritual (khususnya melalui meditasi Zen) ; buruh; tukang"
"区分";"kubun";"divisi; bagian; demarkasi; partisi; segmentasi; jalur (lalu lintas); kompartemen; klasifikasi; penyortiran"
"組合せ";"kumiawase";"kombinasi; bermacam-macam; set, pencocokan (dalam kontes); berpasangan, kombinasi"
"組み立てる";"kumitateru";"untuk berkumpul; untuk mengatur; untuk membangun"
"くむ";"kumu";"untuk menimba (air); untuk menyendok; untuk mencelupkan; untuk mengambil; untuk memompa, menuangkan (ke dalam cangkir); minum (bersama), mempertimbangkan (perasaan, situasi, dll.); untuk bersimpati dengan; untuk melakukan intuisi; untuk memahami, untuk memanfaatkan; untuk mewarisi ; untuk menyilangkan (kaki atau lengan); untuk menghubungkan (lengan), untuk disatukan; untuk membangun; untuk berkumpul; untuk memproduksi (misalnya program TV), untuk menjalin; untuk menganyam, untuk bergulat, untuk bersatu; bergabung; untuk menghubungkan; untuk membentuk aliansi, untuk menetapkan (misalnya mengetik), untuk menerbitkan (misalnya wesel) ; untuk menuangkan (demi); melayani; untuk minum bersama"
"くやしい";"kuyashii";"frustrasi (karena kegagalan, penghinaan atau ketidakadilan); terganggu; sedih; (dengan pahit) kecewa; kesal; membuat frustrasi; mengganggu; disesalkan ; bertobat, menyesal"
"くやむ";"kuyamu";"bertobat, menyesal ; berduka atas; untuk meratapi, menyesal; untuk bertobat"
"くるむ";"kurumu";"untuk menyelesaikan; untuk berkemas; untuk melakukan; untuk menutupi; untuk berpakaian"
"くれぐれも";"kureguremo";"sungguh-sungguh, berulang kali; lagi dan lagi"
"くわえる";"kuwaeru";"menambahkan; untuk menjumlahkan; Untuk menyimpulkan; untuk menambahkan; untuk mencaplok, meningkatkan; untuk berkumpul (misalnya kecepatan); untuk mengambil, untuk memasukkan; untuk menghitung; membiarkan bergabung, menimbulkan (kerusakan); untuk menangani; memberi ; untuk ditahan di mulut seseorang"
"偶数";"guusuu";"bilangan genap"
"ぐん";"gun";"kelompok; kerumunan; kawanan; band, grup ; tentara; pasukan bersenjata; pasukan, otoritas militer, tim; kelompok; rombongan ; daerah; kabupaten, distrik (dari 2-20 lingkungan dengan 50 rumah atau kotapraja, pada periode ritsuryo)"
"けいこ";"keiko";"praktik; berlatih; pelatihan; belajar"
"けいこうとう";"keikoutou";"lampu pijar; lampu neon, orang yang lambat bereaksi; seseorang lambat dalam penyerapannya"
"敬語";"keigo";"sebutan kehormatan; jangka waktu penghormatan; ekspresi sopan; bahasa kehormatan"
"形式";"keishiki";"bentuk (bukan substansi); formalitas, metode; sistem; gaya, format; mode; penampilan; bentuk (sesuatu mengambil), ekspresi matematika"
"けいぞく";"keizoku";"kelanjutan ; hubungan; koneksi; afiliasi, menunggu keputusan (misalnya kasus hukum); ketergantungan"
"毛糸";"keito";"merajut wol; benang wol"
"けいとう";"keitou";"sistem, garis keturunan; keturunan; garis keluarga, kelompok (misalnya warna) (warna); keluarga (misalnya bahasa); berpesta; aliran (pemikiran), hubungan dekat (evolusioner), suatu populasi yang mempunyai nenek moyang yang sama (dalam genetika); strain (misalnya bakteri) ; melepaskan pelempar (pemula). ; aksesi takhta ; presentasi; memberi; menganugerahkan ; mengabdikan diri untuk; berkonsentrasi pada; menjadi pengagum berat; sangat menghargai, terguling dan roboh ; jengger ayam perak (Celosia argentea, khususnya jengger jambul, Celosia argentea var. cristata)"
"経度";"keido";"garis bujur"
"競馬";"keiba ; kurabeuma";"pacuan kuda ; pacuan kuda tradisional; awalnya dua kuda head-to-head atau sepuluh kuda sekaligus, khususnya. Acara 5 Mei di kuil Kamigamo"
"警備";"keibi";"pertahanan; penjaga; kepolisian; keamanan"
"形容詞";"keiyoushi";"kata sifat; kata sifat-i (dalam bahasa Jepang)"
"形容動詞";"keiyoudoushi";"kata benda kata sifat (dalam bahasa Jepang); kata sifat semu; kata sifat nominal; kata sifat na-, taru-, nari- atau tari"
"毛皮";"kegawa ; mouhi";"bulu; kulit; pelt, kanji "bulu" radikal"
"けずる";"kezuru";"untuk mencukur (kayu, kulit, dll.); untuk mempertajam (misalnya pensil); ke pesawat; untuk mengurangi; untuk mengupas; untuk mengikis; mengikis, mengurangi (anggaran, pengeluaran, staf, waktu, dll.); untuk membatasi; untuk mengurangi, menghapus; untuk menghapus; untuk mencoret; untuk menyerang ; menyisir"
"けた";"keta";"kolom; balok; balok melintang; berdebat; halaman, angka; dasawarsa; urutan besarnya"
"けっさく";"kessaku";"mahakarya; karya terbaik, kesalahan lucu; kesalahan yg bodoh"
"血圧";"ketsuatsu";"tekanan darah"
"血液";"ketsueki";"darah"
"気配";"kehai ; kihai";"indikasi; tanda; petunjuk; sensasi; perasaan, nada (pasar)"
"煙い";"kemui ; kebui";"berasap"
"ける";"keru";"untuk menendang, menolak; untuk menolak, mencap (di tanah); untuk menekan kaki seseorang dengan kuat (terhadap sesuatu)"
"けれど";"keredo";"Tetapi; Namun; meskipun"
"けれども";"keredomo";"Tetapi; Namun; meskipun"
"険しい";"kewashii";"terjal; kasar; tidak dapat diakses; tidak dapat ditembus; curam, suram; berat; buritan"
"見学";"kengaku";"inspeksi; belajar dengan observasi; karyawisata; wisata; ulasan, duduk (misalnya kelas olahraga)"
"けんきょ";"kenkyo";"menangkap; pembulatan ; sederhana; rendah hati"
"けんしゅう";"kenshuu";"pelatihan (khususnya dalam pelayanan); kursus induksi ; pemeriksaan penerimaan; menyusun; penerimaan dan pemeriksaan ; keindahan dan keburukan ; pemeriksaan dan perbaikan ; mempelajari dua mata pelajaran secara bersamaan (misalnya sebagai jurusan dan minor) ; pertukaran cangkir sake"
"けんそん";"kenson";"kesopanan; kerendahhatian; bersikap rendah hati"
"県庁";"kenchou";"kantor prefektur"
"けんびきょう";"kenbikyou";"mikroskop"
"芸能";"geinou";"hiburan umum; seni pertunjukan, prestasi; pencapaian"
"外科";"geka";"bedah, departemen bedah (rumah sakit, dll.)"
"げきぞう";"gekizou";"peningkatan tajam; kenaikan mendadak"
"下車";"gesha";"turun (dari kereta api, bus, dll); turun; keluar (dari mobil)"
"げじゅん";"gejun";"sepertiga terakhir setiap bulan; tanggal 21 sampai hari terakhir dalam sebulan"
"下水";"gesui ; shitamizu";"drainase; parit; selokan; saluran pembuangan, saluran pembuangan; air Hitam ; air mengalir di bawahnya; perasaan sejati seseorang, kanji "air" radikal di bagian bawah (radikal 85)"
"げた";"geta";"mendapatkan; Bakiak kayu Jepang, diputar (dalam pemeriksaan tipe set); karakter terbalik"
"月給";"gekkyuu";"gaji bulanan"
"月末";"getsumatsu ; tsukizue";"akhir bulan"
"下品";"gehin";"vulgar; tidak senonoh; kasar; mentah"
"げんこう";"genkou";"naskah; menyalin; draf; catatan; kontribusi ; hadiah; saat ini; dalam operasi ; sutra hitam dan kuning (dipersembahkan kepada dewa); surga dan bumi ; Era Genkō (1321.2.23-1324.12.9) ; Era Genkō (1331.8.9-1334.1.29) ; blastopori ; pengurangan ringan; peredupan cahaya ; Invasi Mongol ke Jepang (1274, 1281) ; (mentah) bijih ; ucapan dan tingkah laku (behavior) ; penurunan alami"
"原産";"gensan";"Tempat asal; habitat"
"原始";"genshi";"asal; awal; asal usul, purba; primitif"
"げんじゅう";"genjuu";"ketat; berat; keras; kaku; tegas; kuat; aman ; cryptid (makhluk misterius tak dikenal); binatang mitos"
"限度";"gendo";"membatasi; batas"
"現に";"genni";"Sebenarnya; Sungguh"
"原理";"genri";"prinsip; teori; kebenaran mendasar"
"原料";"genryou";"bahan baku"
"恋しい";"koishii";"dirindukan; merindukan"
"こう";"kou";"naskah; Versi: kapan; draf ; baja ; tempurung; cangkang, peringkat pertama; kelas A, punggung kaki; punggung tangan, pihak A (misalnya dalam kontrak); pihak Pertama; penggugat (label dalam dokumen hukum) ; merah tua, pemerah pipi; lipstik ; lewat sini; dengan demikian; seperti itu, eh... ; dupa ; anti- ; bangau (khususnya bangau Oriental, Ciconia boyciana) ; pelabuhan ; SMA, SMA ; sungai besar (khususnya Yangtze), Danau Biwa ; yao (garis mewakili yin atau yang yang terdiri dari sepertiga trigram) ; Konstelasi "Leher" Tiongkok (salah satu dari 28 rumah besar) ; ikan, penghitung untuk ikan ; direktur (tertinggi dari empat posisi administratif sistem ritsuryō); ketua ; upeti ; bukti sekolah, (buku, dokumen, dll.); counter untuk bukti ; seperlima malam (kira-kira 2 jam) ; pergi; bepergian; perjalanan, tindakan; aksi, bank, konter untuk bank, konter untuk kelompok atau pesta orang, jenis syair Tiongkok klasik (biasanya sebuah epik dari zaman Tang dan seterusnya), distrik perbelanjaan (dari pedagang serupa; di zaman Sui dan Tang), para pedagang guild (pada periode Tang) ; mulut; ucapan, penghitung untuk orang atau peralatan ; kemampuan; kesuksesan; perbuatan baik, prestasi; akumulasi pengalaman ; pekerja pabrik ; Bagus ; pikir, laporkan penyelidikan seseorang terhadap..., almarhum ayah ; lubang (khususnya tambang) ; invasi; penyerbu ; kekerasan ; kematian (seorang bangsawan, dll.) ; Pertemuan ceramah (Buddha), asosiasi keagamaan, asosiasi gotong royong (yaitu untuk bantuan keuangan) ; rongga ; anak, minat ; belalang padi (dari genus Oxya), belalang; belalang (dari keluarga Catantopidae) ; asosiasi; persekutuan, perubahan (musim, tahun, dsb.) ; Hungaria ; ketrampilan; kepandaian ; angsa, tepat sasaran ; kematian dengan cara digantung (hukuman dalam sistem ritsuryō) ; luas ; menuju, arah, tren ; damai, tenang; bahagia, sehat ; berlayar; menavigasi; kapal, perahu ; membajak, mengolah ; menyerang; mengkritik ; menahan, menyita ; bersedia; menyetujui, mengizinkan ; pinggiran kota; lahan terbuang, ruang terbuka ; menuduh, menuntut; kontrol ; gugup, panik ; ragi ; beli; mempekerjakan ; beruntung; menyayangi, merusak ; luas, hebat ; ini, dengan demikian, itu; untuk memotong; partikel yang tegas ; waktu musim panas; langit; surga ; cerah, mempesona; bergoyang, gemetar ; berkilau ; besar, banyak, luas, melimpah ; cerah, bersinar, bercahaya ; dataran tinggi di sepanjang sungai ; terang, bercahaya; jernih; tua ; rangkaian; luas, ekspansif ; pintu samping kecil; ruangan ; konstan, teratur, persisten ; roh ; berlatih, mengilap, melatih, mengebor, memoles, menyempurnakan ; hambatan nafas (qi) saat mencari pelepasan, varian karakter lain ; jenis yang sama, bandingkan dengan ; tidak sopan, mendesak ; meniru, mengikuti ; disatukan, istana bagian dalam ; lengan depan, lengan atas, bulat ; memukul, menarik, menggasak, mengkritik ; sip, berisik, kwek ; bergema ; mengaum, melolong, menggeram ; panggilan ; Nama keluarga Cina, jahe ; pergaulan, keintiman ; bukit ; pengembaraan ; tidak jelas, pikun, bodoh, bercanda ; takut ; menangis, berduka ; mengangkat ; ketuk, pukul, rap, tombol ; memeriksa, menguji, menyelidiki ; menyerang, memukul ; luas, tidak berharga ; tuas, tiang, linggis, gendong di bahu ; mati (vegetasi) ; air raksa ; kekeruhan, pencampuran ; tiba-tiba, tidak terduga ; terima kasih, hadiah ; monyet ; berkumpul, bertemu, berlindung ; perkakas tertutup ; testis ; tambang, mineral, bijih ; jahitan buta ; bagian dalam tubuh terlalu dalam untuk dijangkau oleh akupunktur ; dubur ; kandung kemih ; tiram ; kebetulan bertemu ; menjadi bingung ; kacang merah kecil ; suara dentingan ; pintu air, kunci ; parit kering ; bersandar pada ; turun, mendarat, tenggorokan, leher ; kue, kue kering ; marquis; yang mulia; daimyo ; musim; cuaca ; kemanjuran; keuntungan; efisiensi; memengaruhi; hasil; kesuksesan ; bakti ; semoga beruntung; harta benda; kebahagiaan, panen; menghasilkan ; 10^32; ratus non-miliar ; ayat; gugus kalimat; item, argumen, istilah (persamaan), tengkuk (leher) ; mencintai ; masalah publik; urusan pemerintahan, pangeran; adipati, tuan, akhiran yang familier atau menghina ; peringkat ke-7; tanda ketujuh kalender Cina ; kalpa (eon, aeon), ko (dalam perjalanan); posisi yang memungkinkan penangkapan abadi dan merebut kembali batu yang sama ; mengemis; untuk bertanya; untuk meminta; untuk mengundang ; Pemerintahan Nasionalis (Tiongkok; misalnya di bawah Kuomintang), kantor provinsi (di bawah sistem ritsuryo); ibukota provinsi"
"工員";"kouin";"pekerja pabrik"
"公害";"kougai";"polusi; gangguan masyarakat; kontaminasi"
"こうきゅう";"koukyuu";"keabadian; kelangsungan ; kelas tinggi, peringkat tinggi; senioritas ; gaji yang tinggi ; penyelidikan; pertanyaan; riset; belajar; pertimbangan; pengawasan ; pembelian ; nada yang bagus (untuk memukul); nada yang mudah ; pasangan yang baik ; penurunan peringkat; penurunan pangkat; degradasi; penurunan posisi (atau pangkat, dll.) ; bola baja; bantalan bola ; hari libur resmi ; spesialisasi (dalam bidang studi) ; bola keras; bola regulasi ; pengurangan gaji ; istana bagian dalam (khusus untuk wanita); harem; seraglio, permaisuri kaisar"
"公共";"koukyou";"publik (fasilitas, pelayanan, dll); komunal"
"工芸";"kougei";"seni industri; keahlian"
"こうこう";"koukou";"berbakti, menunjukkan pengabdian (kepada seseorang) ; pelayaran; navigasi ; SMA ; ayah (almarhum) dari kaisar saat ini ; sekolah teknik yang lebih tinggi ; bagian terdalam dari tubuh (di mana penyakit tidak dapat diobati) ; sayuran acar ; kesatuan seksual ; batang; milikku; lubang ; berani; gelombang (air) ; ini dan itu ; bunyi bel atau lonceng ; plester (jenis perban) ; terang (khususnya bulan), luas dan kosong ; orang yg belum berpengalaman; usia muda dan kurangnya pengalaman ; keburu; bergegas; gelisah ; pangeran dan marquise; tuan feodal yang hebat ; kepala lubang; kepalaku ; pintu masuk pelabuhan ; cemerlang; terang; mempesona ; rongga mulut; mulut ; mengambil lapangan terlebih dahulu, lalu memukul yang kedua ; klausa terakhir, konsekuen (dari suatu rasio); istilah terakhir"
"交差";"kousa";"persimpangan, (genetik) menyeberang"
"講師";"koushi";"pengajar"
"公式";"koushiki";"resmi; formal, rumus (misalnya matematika), akun resmi (media sosial) (perusahaan, organisasi, dll.)"
"こうして";"koushite";"dengan demikian; lewat sini"
"こうしゃ";"kousha";"yang terakhir ; perusahaan publik ; bangunan sekolah; gedung sekolah ; rumah dinas ; perkumpulan keagamaan ; rasa terima kasih yang mendalam ; mobil milikku; kereta milikku ; kepandaian; keahlian; kebijaksanaan, orang pintar (dalam bidang tertentu); orang yang terampil (terampil) ; turun (dari kereta api, bus, dll); turun; keluar (dari mobil) ; mobil belakang"
"こうしゅう";"koushuu";"masyarakat; masyarakat umum ; Guangzhou (Tiongkok); Kwangchow; Wilayah ; kursus pendek; pelatihan ; pendapatan box-office ; Dinasti Zhou kemudian (Tiongkok; 951-960); Dinasti Chou kemudian ; bau mulut; mulut berbau"
"工事";"kouji";"Ada Pekerjaan Konstruksi"
"口実";"koujitsu";"mengizinkan; dalih"
"香水";"kousui ; kouzui";"parfum; aroma ; air beraroma yang digunakan untuk pemurnian; persembahan air kepada Buddha"
"公正";"kousei";"keadilan; ketidakberpihakan"
"こうせき";"kouseki";"pencapaian; perbuatan baik; layanan terkemuka; kontribusi ; keanggotaan keluarga Kekaisaran ; jejak cahaya yang bergerak; jejak (misalnya meteor) ; kursi belakang ; zaman diluvial ; bangun (dari perahu) ; bijih; mineral; kristal"
"光線";"kousen";"balok; sinar cahaya"
"高層";"kousou";"bertingkat tinggi (gedung); bertingkat; tinggi, tinggi (ketinggian); atas (atmosfer, arus udara, dll.)"
"構造";"kouzou";"struktur; konstruksi; dandan; kerangka; organisasi; pola"
"交替";"koutai";"alternasi; mengubah; lega; menyampaikan; menggeser; substitusi (olahraga, dll); bergiliran"
"耕地";"kouchi";"tanah subur"
"交通機関";"koutsuukikan";"alat transportasi; fasilitas transportasi; sistem transportasi; sistem transit"
"校庭";"koutei";"halaman sekolah; tempat bermain; kampus"
"肯定";"koutei";"afirmasi, afirmatif (logika)"
"高等";"koutou";"kelas tinggi"
"高度";"koudo";"ketinggian; tinggi, derajat tinggi; kelas tinggi; canggih; rumit; kuat"
"こうはい";"kouhai";"junior (di tempat kerja, sekolah, dll.); orang yang lebih muda; siswa yang lebih muda ; menghancurkan; penghancuran; limbah; membusuk ; lingkaran cahaya ; pasangan yang baik, dividen yang bagus ; Abu vulkanik ; atap terpendam dibangun di atas tangga kuil atau candi ; permaisuri pangeran ; perkawinan; pembastaran; fertilisasi silang ; sikap seseorang; keadaan ; pertimbangan (Anda); Perhatian; masalah; kebaikan; kantor bagus, dividen tinggi; tingkat pengembalian yang tinggi ; pasangan; pasangan yang sudah menikah ; naik turunnya (bangsa-bangsa); takdir"
"公表";"kouhyou";"pengumuman resmi; proklamasi"
"鉱物";"koubutsu";"mineral"
"公務";"koumu";"bisnis resmi; bisnis publik"
"こうもく";"koumoku";"barang; menuju; kategori; klausa, kata utama (dalam kamus, ensiklopedia, dan sebagainya); pintu masuk ; poin utama dan detailnya"
"紅葉";"kouyou ; momiji";"warna musim gugur; daun berubah warna (warna), daun menjadi merah; daun merah, daun menguning; daun kuning, maple (Jepang) (Acer japonicum), daging rusa, warna berlapis pada pakaian, menyerupai warna musim gugur"
"交流";"kouryuu";"pertukaran (misalnya budaya); pertukaran; interaksi; berbaur; percampuran; datang bersama-sama, arus bolak-balik; AC"
"効力";"kouryoku";"memengaruhi; kemanjuran; keabsahan; potensi"
"超える";"koeru";"untuk menyeberang; untuk melewati; untuk melewati (keluar dari); untuk melampaui, melampaui; untuk melampaui; menjadi lebih (dari)"
"こがす";"kogasu";"untuk membakar; untuk hangus; untuk menghanguskan; untuk arang"
"国王";"kokuou";"raja; ratu; berdaulat, Kerajaan (sebagai fokus otoritas di Inggris, dll.); takhta"
"国籍";"kokuseki";"kebangsaan; kewarganegaraan, kewarganegaraan (kapal, pesawat terbang, dll.); Registrasi; bendera"
"国立";"kokuritsu";"Nasional"
"こげる";"kogeru";"untuk membakar; untuk hangus; untuk mengarang; untuk bernyanyi"
"心当たり";"kokoroatari";"dalam pikiran; kebetulan mengetahui; ide"
"心得る";"kokoroeru";"untuk mengetahui; untuk mengerti; untuk diwaspadai; untuk dianggap sebagai; untuk menerima, persetujuan; menyetujui"
"凍える";"kogoeru";"untuk membekukan (tubuh seseorang); untuk dibekukan; menjadi mati rasa (karena kedinginan); menjadi dingin"
"腰掛け";"koshikake";"kursi; bangku, pekerjaan sementara sambil mencari pekerjaan yang lebih baik atau sampai seseorang menikah"
"腰掛ける";"koshikakeru";"untuk duduk (turun)"
"こしょう";"koshou";"penamaan; memberi nama; denominasi, nominal ; perincian; kegagalan; kesalahan; kecelakaan; rusak, kerusakan; sakit hati, keberatan; protes ; danau; rawa; lahan basah; perairan pedalaman ; merica ; halaman (bangsawan). ; kehadiran ; pinus tua ; lolongan harimau, keluar dan aktif di dunia (pahlawan, dll.) ; nama lama ; membual; berlebihan"
"こしらえる";"koshiraeru";"untuk membuat"
"超す";"kosu";"untuk menyeberang (misalnya gunung); untuk menyeberang, untuk mengatasi (misalnya kesulitan), untuk melewatkan waktu (misalnya musim dingin), untuk melampaui; menjadi lebih baik dari; melebihi, untuk pindah rumah, untuk pergi; datang"
"こする";"kosuru";"untuk menggosok; untuk mengikis ; untuk menabuh (drum), untuk mengumpulkan keberanian"
"個体";"kotai";"individu; contoh"
"こちらこそ";"kochirakoso";"akulah yang seharusnya mengatakan demikian"
"こっそり";"kossori";"secara diam-diam; secara rahasia; diam diam"
"こづかい";"kodukai";"uang saku; menghabiskan uang ; pesuruh; penjaga; pemelihara; (sedikit referensi ke a) tukang"
"こてん";"koten";"pameran tunggal; pameran satu orang; pameran satu wanita ; klasik (karya, khususnya buku); klasik"
"こと";"koto";"kata; komentar; penyataan ; koto (kecapi Jepang dengan 13 senar), alat musik petik, zheng (kecapi Cina); guzheng ; kota Tua; bekas ibu kota ; benda; masalah, insiden; kejadian; peristiwa; sesuatu yang serius; masalah; keadaan krisis, ; situasi; keadaan, pekerjaan; bisnis; urusan, setelah kata yang dapat diubah, menciptakan frasa kata benda yang menunjukkan sesuatu yang tidak dirasa dekat oleh pembicara, nominalisasi akhiran, berpura-pura menjadi...; bermain khayalan..., alias; juga dikenal sebagai; atau dikenal sebagai; atau, kebutuhan; perlu, kamu harus...; Saya menyarankan Anda...; itu penting untuk... ; melakukan perbaikan (misalnya kegagalan); menutup-nutupi (misalnya kesalahan); menutupi ; perbedaan (satu sama lain); hal yang berbeda, tidak biasa; luar biasa ; partikel yang menunjukkan suatu perintah, partikel yang menunjukkan antusiasme yang ringan, partikel yang menunjukkan interogatif yang lembut, partikel yang digunakan untuk melunakkan penilaian atau kesimpulan ; menyukai; mirip dengan; sama dengan"
"言付ける";"kotodukeru ; iitsukeru";"meminta seseorang mengirim (pesan, parsel, dll.); untuk mengirim (melalui orang lain); untuk meninggalkan (pesan) dengan seseorang, untuk digunakan sebagai alasan; untuk membuat alasan ; untuk memberitahu (melakukan); untuk memesan; untuk mengisi daya; untuk mengarahkan, memberi tahu (seseorang); untuk mengadu; melaporkan, sering mengatakan"
"ことばづかい";"kotobadukai";"pidato; ekspresi; susunan kata; bahasa"
"こないだ";"konaida";"hari yang lain; akhir-akhir ini; baru-baru ini"
"こぼす";"kobosu";"menumpahkan; untuk menjatuhkan; menitikkan (air mata), menggerutu; mengeluh, membiarkan perasaannya terlihat"
"こぼれる";"koboreru";"menumpahkan; untuk terjatuh; meluap, mengintip; menjadi terlihat (meskipun biasanya tidak), untuk melarikan diri (dari senyuman, air mata, dll.) ; untuk terkelupas; untuk ditusuk"
"小指";"koyubi";"jari kecil; kelingking, jari kaki kelingking"
"こらえる";"koraeru";"untuk menanggung; berdiri; untuk bertahan; untuk menahan, untuk menahan; kontrol; untuk mengawasi, memaafkan; untuk bertahan; untuk memaafkan"
"転がす";"korogasu";"untuk berguling; untuk mengemudi; untuk mengendarai (mobil), untuk membalikkan; untuk membuang, meninggalkan, untuk membeli dan menjual (dengan cepat untuk mendapatkan keuntungan)"
"転がる";"korogaru";"untuk berguling; untuk jatuh, jatuh; berguling, berbaring, tersebar; berbohong, (tentang situasi atau hasil) untuk berubah; ternyata, datang dengan mudah; menjadi hal yang umum; jatuh ke tangan seseorang; untuk tumbuh di pohon"
