"愛";"ai ; mana";"Cinta; kasih sayang; perawatan, keterikatan; keinginan, agape, Irlandia ; kesayangan; Sayang"
"害";"gai";"cedera; menyakiti; pengaruh jahat; kerusakan"
"外交";"gaikou";"diplomasi, penjualan (misalnya door-to-door); menyelidiki"
"外出";"gaishutsu ; sotode";"keluar; tamasya; meninggalkan (rumah, kantor, dll.)"
"画家";"gaka";"pelukis; artis"
"学";"gaku";"sedang belajar; beasiswa; belajar; pengetahuan; pendidikan, studi tentang...; -ologi; -ics"
"がく";"gaku";"sedang belajar; beasiswa; belajar; pengetahuan; pendidikan, studi tentang...; -ologi; -ics ; (bingkai gambar; gambar berbingkai, jumlah (khususnya uang); jumlah ; rahang; dagu, duri (dari kail) ; tampuk ; musik, musik istana Jepang kuno; gagaku ; secara terang-terangan ; belajar, pengetahuan, sekolah ; terkejut, ketakutan ; mengatakan kebenaran"
"学者";"gakusha";"sarjana"
"学習";"gakushuu";"belajar; sedang belajar; tutorial"
"学問";"gakumon";"belajar; beasiswa; sedang belajar; pendidikan; pengetahuan, disiplin; cabang pembelajaran; (a) ilmu pengetahuan"
"がっかり";"gakkari";"kecewa; menjadi sedih; menjadi putus asa; putus asa; merasa kecewa, merasa lelah; merasa terkuras"
"学期";"gakki";"masa sekolah; semester"
"がまん";"gaman";"ketahanan; kesabaran; kegigihan; menanggung (dengan sesuatu), pengendalian diri"
"がら";"gara";"pola; desain, bentuk tubuh; angka; fisik, kualitas penting; karakter; sifat, sesuai untuk; pemasangan; cocok untuk ; tulang ayam (misalnya untuk sup); bangkai ayam, kokas (batubara) berkualitas buruk, sisa; sisa-sisa ; jatuhnya harga saham secara tiba-tiba; jatuhnya pasar saham"
"きおく";"kioku";"Penyimpanan; ingatan; kenangan, penyimpanan"
"きおん";"kion";"suhu udara ; nada dasar; catatan mendasar"
"きかい";"kikai";"peluang ; mesin; mekanisme, instrumen; alat; aparat ; pemecahan; menghancurkan; merusak, rusak; sedang hancur; dihancurkan; menjadi usang ; aneh; luar biasa; memalukan; gaib ; dunia perjalanan; dunia shogi; berputar-putar; lingkaran shogi"
"期間";"kikan";"periode; ketentuan; selang"
"機関";"kikan ; karakuri";"mesin, agensi; organisasi; lembaga; tubuh, sistem; fasilitas ; mekanisme; mesin; penemuan; perangkat, trik; menghindar, boneka mekanis; boneka tali"
"きぎょう";"kigyou";"perusahaan; bisnis ; industri tenun; industri tekstil ; kelainan bentuk; malformasi, bentuk aneh; bentuk yang tidak biasa ; memulai sebuah bisnis; promosi perusahaan"
"きく";"kiku";"untuk bertanya ; krisan (Krisan morifolium) ; menjadi efektif; untuk berlaku; menjadi baik (untuk), bekerja; berfungsi dengan baik, untuk menjadi mungkin (melakukan, menggunakan, dll.); untuk dapat, mencicipi (alkohol); untuk mencoba ; mendengar, mendengarkan (misalnya musik), bertanya; untuk bertanya; untuk menanyakan, mendengar tentang; untuk mendengarnya; mempelajari, mengikuti (nasihat, perintah, dsb.); untuk mematuhi; untuk mendengarkan, untuk mendengarkan (misalnya permohonan); untuk mengabulkan (permintaan); untuk menerima (misalnya argumen); untuk mempertimbangkan, untuk mencium (khususnya dupa); untuk mencicipi (wewangian), secukupnya (alkohol); untuk mencoba ; baris pembuka; baris pembuka puisi (Cina). ; standar; kriteria; aturan; norma, kompas dan penggaris ; curam (gunung); terjal, keras (hidup); sulit; bermasalah ; mendengarkan, menyadari ; menyelidiki suatu kejahatan ; ragi, nama keluarga ; takut; kekhawatiran"
"きげん";"kigen";"ketentuan; periode; kerangka waktu, batas waktu; tenggat waktu; batas waktu (tanggal) ; humor; melunakkan; suasana hati; roh, keamanan; kesehatan; kesejahteraan; situasi seseorang, dalam suasana hati yang baik; dalam semangat yang tinggi; senang; riang; ceria; gembira ; era, CE (Era Umum); IKLAN (Anno Domini) ; asal; awal; sumber; bangkit ; bahan (dari pengobatan tradisional Tiongkok) ; aneh; gaib"
"気候";"kikou";"iklim"
"きし";"kishi";"bank; pesisir; pantai ; pemain shogi profesional; pemain go profesional ; samurai menunggang kuda, (abad pertengahan) ksatria ; menyelamatkan dari ambang kematian ; anak terakhir ; Ular Bumi (tahun ke-6 siklus usia enam tahun, misalnya 1929, 1989, 2049) ; Ular Air (tahun ke-30 dari siklus usia enam tahun, misalnya 1953, 2013, 2073) ; sekarat karena marah, pingsan ; mati karena malu; karena sangat malu, seseorang ingin mati ; awal ; jurang, pantai, tepian, nama keluarga, tebing ; bendera; spanduk; lambang ; eksekusi dengan pemenggalan kepala diikuti dengan memperlihatkan tubuh di depan umum (bentuk hukuman di Tiongkok kuno) ; majalah Anda; jurnal Anda; makalah Anda; makalah Anda yang terhormat; kolom Anda ; kakak perempuanmu, kamu"
"記者";"kisha";"reporter; wartawan"
"記事";"kiji";"artikel; kabar berita; laporan; akun"
"生地";"kiji ; seichi ; shouchi";"kain; bahan; tekstur, adonan, kualitas bawaan; karakter sejati seseorang; warna asli seseorang, gerabah tanpa glasir, kulit tanpa riasan, logam tidak dilapisi ; tempat lahir"
"きず";"kizu";"luka; cedera; memotong; memar; menggores; mengikis; bekas luka, chip; retakan; menggores; nick, cacat; kelemahan; titik lemah, noda (pada reputasi seseorang); aib, (emosional) sakit hati; perasaan terluka ; cuka murni ; jus jeruk (digunakan mirip dengan cuka)"
"きたい";"kitai";"ekspektasi; antisipasi; harapan, menjanjikan; kenaikan; sedang naik daun ; badan pesawat ; gas; uap air; tubuh gas ; aneh; penasaran ; kecemasan; kekhawatiran; (rahasia) ketakutan, (hidatidosa) tahi lalat ; basis; substrat, lapisan bawah ; bergabung kembali dengan unit tentaranya ; bahaya; kesulitan ; luar biasa; langka; tak ada taranya"
"帰宅";"kitaku";"kembali ke rumah"
"きちょう";"kichou";"nada dasar; tema dasar; dasar; keynote, tren, keynote ; kapten (dari pesawat terbang) ; pendaftaran; pintu masuk; pembukuan; tanda tangan ; berharga ; rumput besar berwarna kuning (spesies kupu-kupu, Eurema hecabe); rumput biasa kuning, kupu-kupu kuning ; peka; mudah tersinggung; halus ; layar ; kembali dari luar negeri; kembali ke negaranya (Jepang)"
"きちんと";"kichinto";"dengan baik; secara akurat; tepat; dengan tepat; teratur, rapi; tertib"
"きつい";"kitsui";"keras; berat; menuntut, bertekad; berpikiran kuat; kuat; hebat; ganas, kuat (misalnya sinar matahari, alkohol); berat; intens, (terlalu) ketat; membatasi; dekat, ekstrim; luar biasa kuat"
"気付く";"kiduku";"untuk memperhatikan; untuk mengenali; untuk menyadari; untuk memahami; menyadari"
"気に入る";"kiniiru";"menyukai; untuk merasa senang dengan; untuk merasa senang; untuk menyukai; sesuai dengan kesukaan seseorang"
"記入";"kinyuu";"entri (dalam formulir, daftar, buku harian, dll.); mengisi"
"記念";"kinen";"peringatan; perayaan; menghormati ingatan akan sesuatu; mengubah sesuatu menjadi kenang-kenangan"
"機能";"kinou";"fungsi; fasilitas; fakultas; fitur"
"きのどく";"kinodoku";"menyedihkan; malang; miskin; menderita; celaka, tidak dapat diampuni; disesalkan"
"寄付";"kifu";"kontribusi; sumbangan"
"きほん";"kihon";"dasar-dasar; dasar"
"きぼう";"kibou";"harapan; mengharapkan; aspirasi ; (menurut kalender lunar) malam ke-16 setiap bulan ; Kelinci Bumi (tahun ke-16 dari siklus usia enam tahun, misalnya 1939, 1999, 2059) ; Kelinci Air (tahun ke-40 dari siklus usia enam tahun, misalnya 1903, 1963, 2023) ; tipu muslihat; menipu seseorang; membodohi seseorang; penipuan; kepura-puraan palsu ; tongkat kayu; tiang kayu ; menantikan; mengantisipasi ; tipu; menipu ; membuat rencana dan mengantisipasi hasilnya"
"決まり";"kimari";"aturan; peraturan, penyelesaian; kesimpulan; akhir; perjanjian; pengaturan, kebiasaan; cara yang biasa, berwajah di depan orang lain; wajah, hubungan cinta antara pelanggan dan pelacur"
"きみょう";"kimyou";"aneh; penasaran ; mengabdikan hidupnya kepada Sang Buddha; mematuhi ajaran Buddha"
"きゅう";"kyuu";"kelas (misalnya sekolah); nilai; pangkat, kyū; kyu; peringkat junior dalam seni bela diri, go, shogi, dll. ; tiba-tiba; mendadak; tidak terduga, mendesak; menekan, curam; tajam; terjal, cepat, darurat; krisis; bahaya, urgensi; bergegas; tergesa-gesa, (dalam gagaku atau noh) akhir lagu ; bola, penghitung untuk bola ; tua; mantan; mantan-, yang lama; benda tua; kebiasaan lama, masa lalu; hari-hari lampau, Kalender lama Jepang (lunisolar). ; sembilan; 9 ; peti mati ; moksibusi ; istana, tonik (dari skala pentatonik Jepang dan Cina), hukuman Tiongkok kuno (kebiri untuk pria, atau kurungan untuk wanita), tanda zodiak ; busur (dan anak panah), satuan jarak ke sasaran panahan (kira-kira enam kaki), satuan jarak untuk survei tanah (kira-kira delapan kaki) ; (menggosok, memutar) dengan keras; dengan memekik; dengan derit, (minum) dalam sekali sapuan ; kotak yang digendong di punggung untuk menyimpan buku, kotak kayu yang digendong di punggung untuk menyimpan barang-barang haji ; istirahat, berhenti; pensiun; tidak! ; simpan, selamatkan, meringankan; bantuan ; menangis, hiks ; tarik napas, hisap; menyerap; menarik ; membusuk, busuk ; selidiki, periksa ; mencium, mengendus; penciuman ; mengambil air dari sumur; menyerap ; agung, gagah berani ; untuk bergabung atau menghubungkan pokok anggur ; tinggi, berbahaya ; armadillo ; malu, menyakitkan, hati nurani bersalah ; mengumpulkan ; hal-hal lama, teman lama, masa lalu, mantan ; cacing tanah ; binatang heraldik pemberani ; berpasangan, berkumpul, bertemu ; bukit ; gaji; pembalasan"
"九";"kyuu ; ku ; kokono ; chuu";"sembilan; 9"
"球";"kyuu ; mari ; tama";"bola, penghitung untuk bola ; bola (untuk olah raga, permainan, dll.), kemari; jenis sepak bola yang dimainkan oleh para bangsawan di Jepang kuno ; bola; bola dunia, manik (dari keringat, embun, dll.); menjatuhkan; tetesan, bola (dalam olahraga), tumpukan (mie, dll.), peluru, bohlam (yaitu bola lampu), lensa (kacamata, dll.), manik-manik (sempoa), bola (yaitu testis), permata; permata (khususnya berbentuk bola; terkadang digunakan secara kiasan); mutiara, penghibur wanita (misalnya geisha), orang (saat mengomentari sifatnya); karakter, barang, dana atau orang yang digunakan sebagai bagian dari plot, telur, koin, berharga; cantik; bagus sekali"
"きゅうか";"kyuuka";"hari libur; libur; cuti; ketidakhadiran (dari pekerjaan) ; buah pohon cemara ; keluarga tua; keluarga lama, rumah lama seseorang; rumah masa kecil seseorang ; musim panas ; kebakaran tiba-tiba; api di dekatnya"
"きゅうけい";"kyuukei";"istirahat; merusak; reses ; kalimat yang direkomendasikan; tuntutan hukuman dari penuntut ; hukuman terberat kedua dari lima hukuman di Tiongkok kuno (kebiri bagi pria, kurungan bagi wanita) ; sembilan menteri (dari pemerintahan Tiongkok kuno), bangsawan ; persahabatan; iritasi ; Tuan atau Nyonya yang terhormat ; bentuk busur; busur; lengkungan, segmen (lingkaran) ; bentuk bulat ; umbi ; gaya lama; tipe lama"
"きゅうげき";"kyuugeki";"tiba-tiba; mendadak; cepat; tajam; drastis; radikal ; drama klasik (kabuki, noh, dll); drama jadul, periode (film)"
"吸収";"kyuushuu";"penyerapan; pengisapan; daya tarik"
"きゅうじょ";"kyuujo";"lega; bantuan; menyelamatkan ; titik vital (tempat kritis untuk melakukan pergerakan dalam permainan Go) ; petugas pengadilan perempuan; nyonya istana"
"急速";"kyuusoku";"cepat (misalnya kemajuan)"
"急に";"kyuuni";"dengan cepat; langsung; tergesa-gesa; buru-buru, tiba-tiba, tiba-tiba (miring, bengkok, dan lain-lain); dengan tajam"
"給料";"kyuuryou";"gaji; upah; membayar"
"今日";"kyou ; konnichi ; konchi ; konjitsu";"Hari ini, hari ini; baru-baru ini; dewasa ini"
"教科書";"kyoukasho";"buku pelajaran; buku Sekolah"
"供給";"kyoukyuu";"memasok; persediaan"
"きょうぎ";"kyougi";"permainan; cocok; kontes ; konferensi; konsultasi; diskusi; perundingan ; lembaran kayu setipis kertas ; kepercayaan; doktrin; dogma ; arti sempit (misalnya sebuah kata)"
"教師";"kyoushi";"guru (kelas)"
"きょうじゅ";"kyouju";"penerimaan; kenikmatan; diberikan ; profesor, mengajar; petunjuk"
"強調";"kyouchou";"tekanan; menekankan; menyoroti; garis bawah; menggarisbawahi, menonjolkan (fitur atau bagian tertentu); aksen, nada yang kuat (pasar); nada tegas"
"共通";"kyoutsuu";"umum; bersama; saling, menjadi umum (untuk); untuk dibagikan (oleh), -lebar"
"共同";"kyoudou";"melakukan bersama-sama (sebagai sederajat); membagikan; umum (tanah, dll.); bersama (pernyataan, dll); kerja sama; kolaborasi; asosiasi"
"恐怖";"kyoufu ; kufu";"takut; rasa takut; kecemasan; teror; kengerian; ketakutan; panik"
"きょうりょく";"kyouryoku";"kuat ; kerja sama; kolaborasi; membantu; mendukung"
"強力";"kyouryoku ; gouriki";"kuat ; kekuatan yang sangat besar; pemandu pembawa gunung"
"きょか";"kyoka";"izin; persetujuan; otorisasi; lisensi, untuk mengizinkan ; obor pinus; obor; penghasut, api unggun ; tunangan"
"局";"kyoku ; tsubone";"biro; departemen, kantor (misalnya pos, telepon); stasiun penyiaran (misalnya televisi, radio); saluran; pertukaran, urusan; situasi, permainan (go, shogi, dll.) ; nyonya istana; dayang (zaman Heian), ruangan terpisah di istana (khususnya untuk wanita) (zaman Heian), ruangan untuk pelacur kelas sangat rendah, pelacur kelas sangat rendah"
"きょだい";"kyodai";"sangat besar; raksasa"
"きよう";"kiyou";"mahir; trampil; gesit; tangkas; cekatan; berguna, pintar; lihai; berbakat ; penunjukan (untuk suatu posisi, pekerjaan, dll.); digunakan untuk suatu peran; promosi ; buletin; memoar"
"きらう";"kirau";"membenci; tidak menyukai; untuk membenci"
"きり";"kiri";"paulownia (Paulownia tomentosa); pohon permaisuri; pohon sarung tangan rubah ; akhir; menyelesaikan; berhenti, batas, tanggal pengiriman (kontrak berjangka), akhir (dari lagu noh); akhir suatu tindakan (dalam jōruri atau kabuki); penampilan terakhir hari ini (di vaudeville), penghitung untuk irisan (khususnya irisan tebal); counter untuk pemotongan (misalnya ikan, daging), saja; baru saja, sejak; setelah, sisa (dalam keadaan tertentu) ; kabut, semprotan ; manfaat yang tidak terduga; keuntungan mendadak ; suasana; kabut ; mengebor; membor; penusuk; bor ; tekstur (misalnya kulit, kain), butiran (misalnya kayu), detail"
"切れ";"kire ; gire";"bagian; mengiris; mengupas; potongan, kain, ketajaman, kelincahan, penghitung sisa, potongan, dll. ; benar-benar habis...; kehabisan...; melelahkan..."
"切れる";"kireru";"untuk memecahkan; Mengambil; untuk dipotong; untuk membagi; retak, terluka, aus; menjadi usang, rusak; meledak; runtuh, luntur; untuk berhenti bekerja; mati, kedaluwarsa (batas waktu, dll.); untuk kehabisan; menjadi jatuh tempo, kehabisan (stok, dll.); menjadi lelah; untuk digunakan; untuk terjual habis; menjadi tidak, terputus (misalnya suatu hubungan); berpisah; untuk memutuskan hubungan; untuk dipotong; untuk diputuskan, untuk dipotong dengan baik; menjadi tajam, berpikiran tajam; menjadi tertarik; menjadi cerdik; menjadi cerdas; untuk dapat, menjadi kekurangan; untuk turun ke bawah (angka tertentu); untuk mengalahkan (misalnya rekor waktu), untuk mengeringkan, untuk melengkung; membelok, mengocok (kartu), menjadi marah; Mengambil; untuk meledakkan atasannya; kehilangan kesabaran; untuk membalik, untuk dapat melakukan sepenuhnya"
"きろく";"kiroku";"catatan; menit; dokumen, catatan (misalnya dalam olahraga); hasil; skor, untuk merekam; untuk mendokumentasikan, untuk membuat rekor (misalnya dalam olahraga); untuk menunjukkan hasil; untuk mencapai suatu nilai"
"きんえん";"kin'en";"tidak merokok; berhenti merokok, Dilarang Merokok! ; radang otot; miositis ; uang ; hubungan dekat (asosiasi)"
"きんがく";"kingaku";"jumlah uang ; ilmu jamur; fungilogi ; belajar sambil bekerja"
"きんこ";"kinko";"penjara (tanpa kerja paksa); penahanan; kurungan ; aman; peti besi; kotak uang; kubah; ruang kuat, penyimpanan; kantor kas; Perbendaharaan; penyedia dana ; zaman modern awal ; sekarang dan dahulu kala ; debu emas"
"きんし";"kinshi";"larangan; inhibisi; melarang ; lamur; rabun jauh ; layang-layang emas (yang mendarat di ujung busur Kaisar Jimmu setelah dia mengalahkan Nagasunehiko) ; filamen jamur; hifa ; benang emas"
"きんせん";"kinsen";"uang; uang tunai ; dipilih dengan cermat ; menjadi sangat cemburu; kecemburuan yang ekstrim ; hati sanubari, senar koto ; kipas lipat berlapis emas"
"きんぞく";"kinzoku";"layanan berkelanjutan ; logam"
"近代";"kindai";"hari ini; zaman modern; masa kini, periode modern awal (di Jepang, biasanya sejak Restorasi Meiji hingga akhir Perang Dunia II)"
"きんちょう";"kinchou";"ketegangan; ketegangan mental; kegugupan ; burung-burung ; mendengarkan dengan penuh perhatian ; burung yang dilindungi secara hukum"
"きんにく";"kinniku";"otot"
"きんゆう";"kin'yuu";"keuangan; pembiayaan; transaksi kredit; peminjaman uang; peredaran uang, moneter; keuangan; kredit"
"金曜";"kin'you";"Jumat"
"議員";"giin";"anggota majelis; anggota Diet; anggota parlemen; anggota Kongres"
"議会";"gikai";"Kongres; parlemen; diet; Dewan Perwakilan Rakyat"
"ぎし";"gishi";"insinyur; teknisi ; anak angkat ; punggawa setia ; anggota badan buatan ; sejarah Wei ; sejarah yang dipalsukan ; berpura-pura mati; bermain posum; imobilitas tonik; tanatosis; mati suri ; kakak ipar (kakak perempuan dari pasangan atau istri dari kakak laki-laki), kakak tiri; kakak perempuan angkat; kakak perempuan yang tidak memiliki hubungan darah ; gigi tiruan ; penasihat; pembuat undang-undang"
"議長";"gichou";"kursi; ketua; pembicara (dari suatu majelis); presiden (dewan, senat, dll.)"
"気味";"gimi ; kimi ; kibi ; kiaji";"-menyukai; -melihat; -tampak; cenderung... ; sensasi; perasaan, kecenderungan ; sentimen pasar (pasar saham); nada pasar"
"ぎむ";"gimu";"tugas; kewajiban; tanggung jawab"
"疑問";"gimon";"ragu; pertanyaan; kecurigaan; keraguan"
"ぎゃく";"gyaku";"balik; kebalikan, kebalikan (dari hipotesis, dsb.), kebalikan (fungsi) ; kejam, kasar, menindas"
"ぎょうぎ";"gyougi";"tata krama; perilaku ; pertimbangan; konsultasi"
"議論";"giron";"argumen; diskusi; sengketa; kontroversi"
"銀";"gin ; shirogane ; shirokane";"perak (Ag), koin perak; uang, medali perak, warna perak, bank, perak umum ; uang, logam"
"く";"ku";"bagian (yaitu teks); kalimat; jalan; paragraf, frasa, ayat (dari 5 atau 7 mora dalam puisi Jepang; dari 4, 5, atau 7 karakter dalam puisi Cina), haiku; 17 morae pertama dari sebuah renga, dll., pepatah; idiom; ekspresi ; bangsal; wilayah; kota (di Tokyo), distrik (misalnya pemilu); bagian; zona (misalnya pos) ; sembilan; 9 ; nyeri; derita; menderita; kesulitan; kecemasan; khawatir; masalah, duhkha (penderitaan) ; counter untuk gambar Buddha (patung dan lukisan) ; segi empat ; klesha (pikiran yang mengotori seperti keserakahan, kebencian dan khayalan, yang mengakibatkan penderitaan) ; mulut; ucapan, penghitung untuk orang atau peralatan ; memacu kuda; mengusir ; bersama; menemani ; curam ; takut, kagum ; jenis pohon ek ; hangat ; nama belakang ; tubuh"
"食う";"kuu";"untuk makan, untuk hidup; untuk mencari nafkah; untuk bertahan hidup, menggigit; menyengat (seperti yang dilakukan serangga), menggoda; untuk menyiksa; untuk mengejek; untuk meremehkan; untuk mengolok-olok, melanggar batas; untuk dimakan; untuk mengkonsumsi, untuk mengalahkan atasan; mengancam suatu posisi, menghabiskan waktu dan-atau sumber daya, untuk menerima sesuatu (biasanya peristiwa yang tidak menguntungkan), melakukan hubungan seksual dengan seorang wanita, khususnya. untuk pertama kalinya"
"くさい";"kusai";"bau, mencurigakan, kikuk; tidak terampil, berbau, tampak seperti; menampar; -ish ; keselamatan (dari penderitaan berdasarkan ajaran Buddha) ; berbau busuk, tampak mencurigakan, bau, rasa, keharuman, harum, bersinar, cerah"
"くさり";"kusari";"rantai ; jalan; bagian ; kecil, rantai ; kebusukan; membusuk; korupsi"
"くさる";"kusaru";"menjadi busuk; menjadi buruk; membusuk; merusak; untuk membusuk; menjadi asam (misalnya susu), menimbulkan korosi; terhadap cuaca; hancur, menjadi tidak berguna; untuk menumpulkan; menjadi lemah (karena kurang latihan), menjadi bejat; menjadi merosot; menjadi bangkrut secara moral; menjadi korup, menjadi depresi; menjadi putus asa; merasa putus asa; merasa sedih, memiliki keberanian untuk; menjadi cukup bajingan hingga, kalah taruhan, hingga basah kuyup; menjadi basah kuyup"
"くせ";"kuse";"kebiasaan (seringkali merupakan kebiasaan buruk, misalnya sifat buruk); kecenderungan, kekhasan; keistimewaan; tingkah laku, lipatan; kerut; keriting; berbelit ; segmen panjang dari drama noh yang membentuk highlight musiknya, salah; tidak pantas; tidak senonoh ; penyelamatan"
"くだ";"kuda";"pipa; tabung"
"下さる";"kudasaru";"memberi; untuk berunding; untuk menganugerahkan, perbuatan baik untuk seseorang; untuk mewajibkan; untuk mendukung"
"下す";"kudasu ; orosu";"untuk membuat keputusan; untuk menarik kesimpulan, untuk memberikan penilaian; untuk menjatuhkan putusan; untuk menjatuhkan hukuman; untuk memberi perintah, untuk melepaskan; untuk menurunkan, melakukan diri sendiri; untuk melakukan sendiri, untuk mengalahkan, buang air besar; mengalami diare, buang air besar (dalam tinja); untuk keluar dari tubuh, untuk dilakukan sekaligus; lakukan sampai akhir tanpa henti ; untuk mencatat; untuk menjatuhkan; untuk menurunkan (tangan, bendera, penutup, dll.); untuk menjatuhkan (jangkar, tirai, dll.); untuk mengecewakan (rambut); untuk meluncurkan (perahu), untuk menurunkan (penumpang); untuk melepaskan; untuk membongkar (barang, truk, dll); untuk membongkar; untuk mengeluarkan, menarik (uang), untuk digunakan pertama kali; untuk dipakai pertama kali, untuk dipotong; untuk fillet (ikan); untuk memarut (misalnya lobak); untuk memangkas (cabang), untuk menghapus (seseorang dari suatu posisi); untuk mengusir; untuk menjatuhkan, untuk membersihkan (meja); untuk menghapus (persembahan dari altar); untuk mewariskan (misalnya pakaian lama); untuk menurunkan, untuk mengeluarkan dari tubuh (misalnya cacing); untuk menggugurkan (janin), untuk memanggil (roh); untuk menelepon ke bawah"
"下り";"kudari";"kereta bawah; kereta api menuju titik akhir rutenya, menurunkan lereng; menuju ke bawah, menuju ke bawah (khususnya menjauhi Tokyo), ke hilir; lereng"
"苦痛";"kutsuu";"nyeri; rasa sakit; kepahitan"
"くべつ";"kubetsu";"perbedaan; diferensiasi; klasifikasi"
"組";"kumi";"kelas (siswa), kelompok (orang); berpesta; tim; kru, banyak; kelompok; set, keluarga kriminal; sindikat kejahatan terorganisir, kumpulan (item); bermacam-macam; setumpuk (kartu); paket, pengaturan huruf; komposisi"
"組合";"kumiai";"asosiasi; Persatuan; serikat"
"組む";"kumu";"untuk menyilangkan (kaki atau lengan); untuk menghubungkan (lengan), untuk disatukan; untuk membangun; untuk berkumpul; untuk memproduksi (misalnya program TV), untuk menjalin; untuk menganyam, untuk bergulat, untuk bersatu; bergabung; untuk menghubungkan; untuk membentuk aliansi, untuk menetapkan (misalnya mengetik), untuk menerbitkan (misalnya wesel)"
"くもり";"kumori";"keadaan mendung; cuaca mendung, kabut (di cermin, kacamata, dll); awan (misalnya pada marmer); mengaburkan; kabut; bayangan; keremangan, kesuraman; kekesalan"
"暮らし";"kurashi";"jalan hidup; hidup; mata pencaharian; keadaan hidup"
"暮らす";"kurasu";"untuk hidup; bergaul, menghabiskan (waktu)"
"くりかえす";"kurikaesu";"mengulang; untuk melakukan sesuatu lagi"
"くるう";"kuruu";"menjadi gila; kehilangan akal sehat, menjadi tidak teratur; melakukan kesalahan; tidak berfungsi; menjadi tidak tepat, menjadi salah (rencana atau harapan, dll.); untuk gagal; menjadi campur aduk, menjadi gila (karena seseorang atau sesuatu); untuk menjadi antusias; menjadi liar"
"苦しい";"kurushii";"menyakitkan; sulit; keras, menyedihkan; (secara psikologis) sulit; membuat stres; janggal (misalnya posisi), sesat (keadaan); ketat (situasi keuangan); miskin; berjuang, tegang (interpretasi, penjelasan, dll); timpang (misalnya alasan); dipaksa (misalnya tersenyum); dibuat-buat, sulit dilakukan; tidak menyenangkan"
"苦しむ";"kurushimu";"menderita; mengerang; menjadi khawatir"
"暮れ";"kure";"matahari terbenam; terbenamnya matahari; senja, akhir; tutup, akhir tahun"
"苦労";"kurou";"masalah; kesulitan; tenaga kerja; bekerja keras; rasa sakit, kecemasan; khawatir; kekhawatiran; kekuatiran"
"加える";"kuwaeru";"menambahkan; untuk menjumlahkan; Untuk menyimpulkan; untuk menambahkan; untuk mencaplok, meningkatkan; untuk berkumpul (misalnya kecepatan); untuk mengambil, untuk memasukkan; untuk menghitung; membiarkan bergabung, menimbulkan (kerusakan); untuk menangani; memberi"
"くわしい";"kuwashii";"terperinci; penuh; menit, mengetahui dengan baik; berpengetahuan (tentang); kenal baik (dengan); berpengetahuan luas (tentang); akrab (dengan)"
"加わる";"kuwawaru";"untuk ditambahkan ke; untuk ditambahkan, untuk bergabung (misalnya sekelompok teman); untuk berpartisipasi, meningkatkan (misalnya panas); untuk mendapatkan keuntungan (misalnya pengaruh); untuk tumbuh; untuk mengumpulkan (kecepatan), untuk diterapkan (misalnya panas, tekanan); untuk dikerahkan"
"くん";"kun";"bacaan asli bahasa Jepang tentang karakter, ajaran Cina; pelajaran; ajaran seseorang ; Tuan (junior); menguasai; anak laki-laki ; prestasi (khususnya urutan prestasi) ; bau yang menyenangkan; aroma; parfum, tumbuh-tumbuhan yang berbau harum ; sayuran berbau tajam (khususnya bawang putih, bawang merah, daun bawang, daun bawang Cina, bawang putih Jepang), sayuran pedas (khususnya jahe dan merica air) ; perbuatan baik; manfaat; pangkat ; ramuan obat; untuk membakar ; asap, kabut, uap, obat ; membara, berasap, mengoksidasi ; hem, pakaian dalam ; kelaparan"
"くんれん";"kunren";"pelatihan; mengebor; praktik; disiplin"
"偶然";"guuzen";"kebetulan; peluang; kecelakaan, secara kebetulan; tiba-tiba; secara tidak sengaja, kemungkinan"
"具体";"gutai";"konkret; nyata; bahan"
"ぐっすり";"gussuri";"nyenyak (tidur); pulas)"
"ぐん";"gun";"kelompok; kerumunan; kawanan; band, grup ; tentara; pasukan bersenjata; pasukan, otoritas militer, tim; kelompok; rombongan ; daerah; kabupaten, distrik (dari 2-20 lingkungan dengan 50 rumah atau kotapraja, pada periode ritsuryo)"
"ぐんたい";"guntai";"pasukan bersenjata; militer; pasukan ; koloni"
"計";"kei ; haka";"rencana, meter; alat pengukur, (dalam) total; jumlah dari) ; kemajuan"
"けいい";"keii";"menghormati ; rincian; seluruh cerita; urutan peristiwa; kronologi; keadaan; bagaimana hal itu dimulai; bagaimana keadaan menjadi seperti ini, garis bujur dan garis lintang, melengkung dan melengkung; melengkung dan guk ; perasaan kagum; menghormati; ketakutan (misalnya otoritas) ; mudah; lampu; sederhana"
"けいえい";"keiei";"pengelolaan; administrasi; operasi; berjalan (bisnis); melakukan ; estafet renang ; bentuk dan bayangannya; hal-hal yang tidak dapat dipisahkan ; penjaga; patroli; pengawal"
"計画";"keikaku";"rencana; proyek; jadwal; skema; program"
"景気";"keiki";"kondisi bisnis; pasar; aktivitas ekonomi; iklim ekonomi, masa (ekonomi) yang baik; kemakmuran; ledakan, keaktifan; energi; semangat; roh"
"経験";"keiken";"pengalaman"
"けいこう";"keikou";"kecenderungan ; mulut ayam, pemimpin kelompok kecil ; berjalan ke depan ; parfum; aroma, kehormatan; menghormati; popularitas ; tempat tidur; kamar tidur, ruang tamu wanita ; baju besi yang terbuat dari pelat besi kecil yang diikat dengan tali kulit (dari zaman Kofun hingga Nara) ; membawa (pada seseorang); mengambil dengan satu ; diminum; lisan ; fluoresensi ; pemujaan; kekaguman; menghormati"
