"会う";"au";"bertemu; untuk menghadapi; untuk melihat, mengalami kecelakaan; untuk mendapatkan pengalaman buruk"
"女";"onna ; omina ; ouna ; umina ; ona ; me ; jo";"perempuan; wanita; jenis kelamin perempuan, kekasih perempuan; pacar perempuan; nyonya; wanita (seseorang). ; perempuan, lebih kecil (dari keduanya); lebih lemah, wanita, istri ; wanita; gadis; putri, Rasi bintang "Gadis" Cina (salah satu dari 28 rumah besar)"
"女の子";"onnanoko ; menoko";"gadis; anak perempuan; bayi perempuan, wanita muda ; wanita; gadis"
"会社";"kaisha";"perusahaan, tempat kerja"
"かいだん";"kaidan";"percakapan; konferensi (biasanya antara orang-orang penting); diskusi; wawancara ; cerita hantu ; tangga ; platform penahbisan ; pembubaran"
"かいもの";"kaimono";"belanja; barang yang dibeli"
"買う";"kau";"untuk membeli, untuk menilai; mempunyai pendapat yang tinggi, menggerakkan; untuk memprovokasi; untuk memanfaatkan diri sendiri"
"かえす";"kaesu";"untuk mengirim (seseorang) kembali; untuk mengirim (seseorang) pulang ; untuk mengembalikan (sesuatu); untuk memulihkan; untuk mengembalikan, untuk membalikkan; untuk terbalik; untuk membatalkan, untuk membayar kembali; untuk membalas, untuk menanggapi (dengan); untuk membalas; membalas; mengatakan kembali, melakukan... kembali (misalnya berbicara kembali, melempar kembali), melakukan lagi; untuk dilakukan berulang kali ; menetas; untuk mengerami"
"かえる";"kaeru";"mengembalikan; untuk pulang; untuk kembali, pergi, pulang; untuk sampai ke home plate ; mengembalikan; untuk kembali, untuk membalikkan, menjadi sangat; menjadi sepenuhnya ; katak, katak kajika (Buergeria buergeri) ; untuk mengganti, menukar; untuk menukar, untuk menggantikan ; perdagangan, barter; Campuran; dengan gegabah ; Untuk mengganti; untuk mengubah; berbalik; untuk memvariasikan, untuk melakukan reformasi; untuk merevisi; untuk mengubah ; untuk menetas"
"かかる";"kakaru";"untuk mengambil (sumber daya, misalnya waktu atau uang), untuk digantung, agar terlihat; tiba, untuk berada di bawah (kontrak, pajak), untuk menghidupkan (mesin, motor), untuk hadir; untuk menangani, untuk memulai; berada di ambang, tumpang tindih (misalnya informasi dalam manual); untuk menutupi, untuk (datang) pada, untuk diikat, untuk ditutupi (misalnya dengan debu, taplak meja, dll.), untuk ditangkap, untuk menerima panggilan, untuk bergantung pada ; untuk tertular (suatu penyakit); menderita akan ; seperti; seperti ini ; untuk bab; untuk retak ; untuk menjangkau; menjembatani; menyeberang; untuk mengangkang ; menjadi karya; menjadi hasil dari; untuk dilakukan oleh, yang berkepentingan; mempengaruhi; melibatkan; berhubungan dengan"
"かぎ";"kagi";"kunci, kunci, kunci (untuk masalah); petunjuk ; wanita yang mencari nafkah dengan menghibur dengan nyanyian, tarian, dan permainan shamisen; geisha yang bernyanyi di pesta ; anggota majelis rendah ; kait, gabung, sambung; menarik ; tongkat berbulu, duri radikal (no. 6) ; kait, braket kait (tanda kutip Jepang)"
"書く";"kaku";"untuk menulis; untuk pena, menggambar; melukis"
"かける";"kakeru";"untuk digantung (misalnya mantel, gambar di dinding); untuk membiarkan menggantung; untuk menangguhkan (dari); untuk mengangkat (misalnya berlayar); untuk mengibarkan (misalnya bendera), untuk mengenakan (misalnya selimut); untuk diletakkan di atas; menutupi; untuk meletakkan; untuk menyebarkan, memakai (kacamata, dll.); memakai (kalung, dll.), membuat (menelepon), menghabiskan (waktu, uang); untuk mengeluarkan; untuk menggunakan, untuk menuangkan (cairan) ke; untuk menaburkan (bubuk atau rempah-rempah); untuk memercik; untuk membuang (misalnya air) ke, untuk menghidupkan (mesin, radio, dll.); untuk mengatur (dial, jam alarm, dll.); untuk memakai (DVD, lagu, dll.); untuk menggunakan (perangkat, implementasi, dll.), menyebabkan (ketidaknyamanan, masalah, dll.); untuk membebani (seseorang); untuk memaksakan, untuk mengalikan (operasi aritmatika), untuk mengamankan (misalnya mengunci), untuk mengambil tempat duduk; duduk; untuk beristirahat (sesuatu pada sesuatu yang lain); untuk mendukung (sesuatu pada sesuatu yang lain), untuk mengikat, untuk bertaruh; mengambil risiko; untuk mempertaruhkan; berjudi, memberikan efek (mantra, anestesi, dll.) pada, mengadakan (drama, festival, dll.), menahan emosi (kasihan, harapan, dll.), berdebat (di pengadilan); untuk berunding (dalam suatu pertemuan); untuk mempresentasikan (misalnya ide untuk konferensi, dll.), untuk meningkatkan lebih lanjut, untuk menangkap (dalam perangkap, dll.), untuk dipasang di atas, untuk mendirikan (gedung darurat), untuk melamar (asuransi), untuk permainan kata-kata (pada kata); untuk menggunakan (sebuah kata) sebagai kata poros; bermain kata-kata, setengah melakukan...; untuk memulai (tetapi tidak menyelesaikan)...; akan..., untuk mengatasi (seseorang); untuk mengarahkan (sesuatu, kepada seseorang); untuk melakukan (sesuatu, kepada seseorang) ; untuk berlari; berlomba, berlari kencang (menunggang kuda); untuk berlari, untuk maju (melawan musuh); untuk mengisi daya (menunggang kuda) ; untuk membuat chip; untuk terkelupas; untuk memutuskan (mematikan); rusak, hilang (dari set, tim, dll.); tidak hadir; menjadi tersesat, menjadi kekurangan (dalam); menjadi pendek (dari); menjadi kekurangan; menjadi ingin (dalam), menyusut (bulan); untuk pergi ke gerhana ; melambung; untuk terbang, berlari; untuk berlari ; untuk menangguhkan antara dua titik; untuk membangun (jembatan, dll.); untuk memasang sesuatu (misalnya kaki di atas meja)"
"かさ";"kasa";"topi berbentuk kerucut (gaya Asia Timur); topi kuli, sesuatu yang berbentuk seperti topi kerucut atau payung; naungan (dari lampu); tutup jamur; tumpukan ; payung, sesuatu yang berbentuk seperti payung atau topi berbentuk kerucut; naungan (dari lampu); tutup jamur; tumpukan ; dalam jumlah besar; volume; kuantitas ; halo (mengelilingi Matahari, Bulan, dll); cincin; korona ; jerawat; keropeng, sifilis; cacar ; kerucut (misalnya pinus, hemlock) ; bisul, luka; infeksi ; gatal ; hiliran"
"かす";"kasu";"untuk meminjamkan, untuk menyewakan; untuk menyewa ; untuk menimbulkan; untuk mengenakan (denda, dll.) ; untuk menikah; menikah, untuk mengalihkan kesalahan kepada orang lain ; untuk memberikan; untuk memungkinkan; memaafkan ; untuk mengenakan (pajak, denda, dll.); untuk memungut; untuk menetapkan (tugas, tugas, dll.); memberi; untuk mengatur ; ampas; endapan; alasan; makan, lees (khususnya sake), sisa makanan; produk sampingan, barang tidak berharga; sampah, ampas (misalnya masyarakat); sampah, kartu 1 poin ; untuk berubah menjadi; untuk mengkonversi ke; untuk mengubah; untuk dikurangi; pengaruh; untuk meningkatkan (seseorang)"
"かぜ";"kaze";"angin; angin semilir; draf; rancangan, cara; perilaku, dingin; influensa ; (flu biasa; influensa; malaria; penyakit radang sistem pernapasan (secara umum)"
"かぞく";"kazoku";"keluarga ; gelar bangsawan (di Jepang; 1868-1946); kaum bangsawan; aristokrasi"
"かた";"kata";"kelebihan; kelimpahan yang berlebihan ; model; jenis (misalnya mesin, barang, dll.), jenis; gaya; pola, cetakan (cetakan); templat; model, kata (bentuk standar gerakan, postur, dll. dalam seni bela diri, olah raga, dll.), bentuk (yaitu prosedur adat), ukuran (yaitu pakaian, sepatu), inci (dalam ukuran tampilan diagonal), (taksonomi) membentuk ; bahu ; arah; cara, orang; wanita; pria, metode; cara, merawat..., orang yang bertanggung jawab atas..., sisi (misalnya "dari pihak ibu") ; membentuk; penampilan, jaminan, bagian depan koin "zeni" lama ; makanan ringan nasi ; laguna, saluran masuk; sungai kecil, pantai pasang surut; dataran pasang surut; tanah air pasang ; satu (dari sepasang), tidak lengkap; tidak sempurna; terpisah-pisah, sedikit, di luar pusat; sisi, jarak jauh; masalah; pertanyaan; penting ; banyak"
"かてい";"katei";"anggapan; hipotesa ; rumah; keluarga; rumah tangga ; kursus; kurikulum ; proses; kursus; mekanisme ; Era Katei (1235.9.19-1238.11.23) ; batang dan kelopak muskmelon (digunakan dalam pengobatan tradisional Tiongkok) ; palung"
"かど";"kado";"berlebihan; luar biasa ; sudut; tepi, (jalan) sudut; membalikkan, sisi yang kasar (karakter, kata-kata, dan lain-lain); sifat abrasif; kekerasan; ketajaman ; gerbang, cabang pembelajaran berdasarkan ajaran satu master, divisi; filum, penghitung meriam ; mengenakan biaya; alasan; kecurigaan ; dunia yang lebih rendah; dunia ini; bumi ; sudut, tonjolan ; Ikan haring Pasifik (Clupea pallasii)"
"かばん";"kaban";"tas; tas kantor; keranjang ; keluar dari tugas"
"かびん";"kabin";"vas bunga ; kegugupan; sensitivitas berlebihan"
"かみ";"kami";"bumbu; penyedap, tambahan; penyertaan; mempertimbangkan ; kertas ; hulu (sungai); aliran atas, atas; bagian atas; bagian atas (tubuh), lama, awal; orang pertama, orang berpangkat tinggi (misalnya kaisar), pemerintahan; istana kekaisaran, ibukota kekaisaran (yaitu Kyoto); wilayah ibu kota (yaitu Kansai); wilayah (atau arah) istana kekaisaran, kepala (meja), istri; nyonya (dari sebuah restoran) ; Tuhan; dewa; keilahian; roh; kami, luar biasa; fantastis, Kaisar (Jepang), guntur ; rambut (di kepala) ; menakjubkan; fantastis; luar biasa ; direktur (tertinggi dari empat posisi administratif sistem ritsuryō); ketua ; direktur (gubernur provinsi di bawah sistem ritsuryō) ; rasa lezat ; di atas"
"かようび";"kayoubi";"Selasa"
"空";"kara ; sora ; utsuse ; uro ; utsuo ; utsuho ; kuu";"kekosongan; kosong ; langit; udara, cuaca, tempat yang jauh, keadaan pikiran; perasaan, (dari) ingatan; (oleh) hati, kepalsuan; berbohong, entah bagaimana; samar-samar, palsu ; kosong; rongga; lubang ; udara kosong; langit, shunyata; kekosongan; kurangnya sifat intrinsik yang tidak dapat diubah dalam fenomena apa pun, kekuatan udara, ketidakberhasilan; ketidakbermaknaan, kosong (salah satu dari lima elemen), kosong (misalnya himpunan)"
"からい";"karai";"pedas; panas, asin, keras (kritik); berat (hukuman); ketat, menyakitkan; pahit; sulit; keras ; badai petir siklon ; kuncup bunga ; kecil; keras, ketat ; asin (rasa); asin"
"からだ";"karada";"tubuh, batang tubuh; bagasi, bangun; perawakan; bingkai; sosok, kesehatan; konstitusi, mayat ; tubuh, substansi, objek, realitas"
"かりる";"kariru";"meminjam; untuk memiliki pinjaman, untuk menyewa"
"かるい";"karui";"ringan (yaitu tidak berat); merasa ringan (yaitu memberikan sedikit perlawanan, bergerak dengan mudah), ringan (yaitu pada kaki); tanpa usaha; gesit, tidak serius; minor; tidak penting; sepele, sedikit; kecil; lembut; mudah; ringan hati (misalnya bercanda), mudah; sederhana, tidak pandang bulu"
"かわ";"kawa";"sungai; aliran, Sungai ; kulit; bersembunyi; melempari; bulu, kulit; mengupas; sekam; kulit kayu, cangkang; sarung; balutan, topeng (menyembunyikan sifat asli seseorang); tampak ; sisi (dari sesuatu, atau memihak seseorang); bagian, (jam tangan) kotak ; matte (metalurgi) ; ubin yang dibuang; membuang ; cerita bagus; cerita yang indah; kisah yang mengharukan"
"かわいい";"kawaii";"imut-imut; menggemaskan; menawan; cantik, sayang; berharga; hewan peliharaan, tidak bersalah; seperti anak kecil; kekanak-kanakan; menyenangkan, mungil; kecil"
"かんじ";"kanji";"Sekretaris Eksekutif; koordinator; penyelenggara; orang yang bertugas membuat pengaturan ; merasa; nalar; kesan ; kanji; karakter Cina ; pemulihan total ; Era Kanji (1087.4.7-1094.12.15) ; kuil-kuil yang disponsori negara, khususnya kuil-kuil yang disukai dan dilindungi oleh keshogunan selama periode Kamakura ; tersenyum ; salah satu dari enam pengelola kuil Zen yang menggantikan pendeta kepala ; julukan stereotip ; urusan pemerintah ; auditor; pengontrol; pengawas keuangan, penyelia; inspektur; Pengelola"
"外";"gai ; soto ; hoka ; yoso";"di luar; tidak tercakup oleh ; di luar; bagian luar, tempat terbuka (udara), tempat lain; di tempat lain; di luar kelompok (keluarga, perusahaan, dll.) ; lainnya (tempat, benda, orang); sisanya; dkk., luar; di luar, tidak ada kecuali; tidak ada, tapi; tidak lain adalah; tidak ada apa pun selain; tidak ada pilihan (selain), selain...; sebagai tambahan... ; tempat lain; di tempat lain; bagian, luar yang aneh (keluarga atau kelompok seseorang); orang lain, tidak peduli; bersikap acuh tak acuh terhadap; kurang memperhatikan; mengabaikan"
"外国";"gaikoku ; sotoguni";"negara asing"
"外国人";"gaikokujin";"orang asing; warga negara asing; asing; non-Jepang"
"学生";"gakusei ; gakushou ; gakusou";"pelajar (khususnya seorang mahasiswa) ; Mahasiswa administrasi pemerintahan periode Heian, cendekiawan Buddha; peneliti di kuil Buddha; orang yang mempelajari agama Buddha, belajar; beasiswa"
"学校";"gakkou";"sekolah"
"木";"ki ; moku";"pohon; belukar; semak, kayu ; Kamis, kayu (pertama dari lima elemen)"
"きいろ";"kiiro";"kuning; amber"
"きいろい";"kiiroi";"kuning, nada tinggi (suara); melengking"
"きえる";"kieru";"menghilang; untuk menghilang; untuk menghilang dari pandangan; untuk pergi; tersesat, keluar (dari api, cahaya, dll.); untuk mati; untuk mematikan (misalnya layar TV), memudarkan (perasaan, kesan, dll.); menghilang (misalnya harapan), hilang (misalnya bau, gatal, mengantuk); menghilang; memudar (misalnya langkah kaki), menghilang (misalnya prasasti); untuk menghapus (menulis); memudar (misalnya tinta), hilang (misalnya tradisi); untuk mati; menghilang"
"聞く";"kiku";"mendengar, mendengarkan (misalnya musik), bertanya; untuk bertanya; untuk menanyakan, mendengar tentang; untuk mendengarnya; mempelajari, mengikuti (nasihat, perintah, dsb.); untuk mematuhi; untuk mendengarkan, untuk mendengarkan (misalnya permohonan); untuk mengabulkan (permintaan); untuk menerima (misalnya argumen); untuk mempertimbangkan, untuk mencium (khususnya dupa); untuk mencicipi (wewangian), secukupnya (alkohol); untuk mencoba"
"北";"kita ; pee";"utara, Utara; wilayah utara, Korea Utara, angin utara ; ubin angin utara, tangan pemenang dengan pung (atau kong) ubin angin utara"
"きたない";"kitanai";"kotor; busuk; najis, tidak teratur; berantakan; buruk (misalnya tulisan tangan), tidak senonoh (bahasa, dll.); kotor; vulgar; kasar, pengecut; berarti; basis; curang, pelit; tamak"
"きっさてん";"kissaten";"kedai kopi; ruang minum teh; ruang kopi; rumah kopi; kafe"
"きって";"kitte";"stempel (ongkos kirim); sertifikat barang dagangan"
"きっぷ";"kippu";"tiket ; karakter; watak; roh; perangai"
"きのう";"kinou";"fungsi; fasilitas; fakultas; fitur ; Kemarin ; kantung udara (burung, serangga, dll.), kantong gas (pesawat udara); amplop ; induksi; penalaran induktif ; kembali bertani"
"九";"kyuu ; ku ; kokono ; chuu";"sembilan; 9"
"今日";"kyou ; konnichi ; konchi ; konjitsu";"Hari ini, hari ini; baru-baru ini; dewasa ini"
"きょうしつ";"kyoushitsu";"kelas; ruang kuliah, jurusan (di universitas), kelas; pelajaran; kursus, sekolah (untuk disiplin ilmu tertentu); pendirian pengajaran"
"きょうだい";"kyoudai";"kuat ; saudara; saudara laki-laki dan perempuan, saudara laki-laki, saudara ipar; saudara ipar perempuan, teman ; saudara perempuan ; abutmen jembatan ; judul kitab suci atau teks suci (misalnya sutra Buddha), judul pada gulungan atau gulungan buku ; meja rias ; saudara laki-laki dan saudara perempuan ; kakak perempuan dan adik laki-laki ; kakak laki-laki dan adik perempuan"
"きょねん";"kyonen";"tahun lalu"
"きらい";"kirai";"(laut) milikku ; tidak disukai; dibenci; tidak menyenangkan, kecenderungan; menampar (dari); sentuhan (dari), perbedaan; diskriminasi ; kembali"
"きる";"kiru";"untuk memotong; melakukan (operasi), memutus (sambungan, ikatan), mematikan (misalnya lampu), mengakhiri (misalnya percakapan); untuk menutup telepon (telepon); untuk memutuskan, untuk meninju (tiket); merobek (rintisan), membuka (sesuatu yang tersegel), memulai, mengatur (batas); untuk melakukan (sesuatu) dalam waktu kurang atau dalam waktu tertentu; untuk menerbitkan (cek, voucher, dll.), untuk mengurangi; untuk mendiskon, untuk melepaskan (air, dll.); untuk membiarkannya kering; untuk membiarkan saluran, menyeberang; melintasi, mengkritik dengan tajam, bertindak tegas; untuk melakukan (sesuatu yang terlihat); untuk pergi dulu; membuat (ekspresi wajah tertentu, dalam kabuki), berputar (kendaraan, setir, dll.), melingkar (bola); untuk membungkuk; untuk memotong, untuk mengacak (kartu), untuk membuang ubin, untuk mengabaikan; untuk memecat; untuk melepaskan; untuk mengusir; mengucilkan, menggali (alur); untuk memotong (stensil, pada stensil), untuk truf, untuk memotong (hubungan antara dua kelompok) (dalam perjalanan), untuk menyalakan api (dengan gesekan kayu-kayu atau dengan membenturkan logam ke batu), untuk menggambar ( suatu bentuk) di udara (dengan pedang, dll.), untuk menyelesaikan ; untuk dipakai (dalam bahasa Jepang modern, dari bahu ke bawah); untuk mengenakan, untuk menanggung (rasa bersalah, dll.) ; untuk memotong (misalnya kain) ; untuk menebang (misalnya pohon) ; membunuh (manusia) dengan menggunakan pisau (pedang, parang, pisau, dan sebagainya); untuk mengiris (mematikan); untuk memotong (mematikan); untuk memotong) ; untuk memotong; untuk memangkas; untuk memangkas (cabang, daun, bunga, dll.)"
"きれい";"kirei";"cantik; adil, bersih; jernih; murni; rapi, sepenuhnya"
"きんようび";"kin'youbi";"Jumat"
"ぎゅうにく";"gyuuniku";"daging sapi"
"ぎゅうにゅう";"gyuunyuu";"susu sapi"
"ぎんこう";"ginkou";"bank; lembaga perbankan ; pergi ke tempat wisata terkenal, reruntuhan, dll. mencari inspirasi waka atau haiku, membaca atau menulis puisi sambil berjalan-jalan ; tambang perak; bijih"
"くすり";"kusuri";"obat-obatan; obat-obatan (legal); pil; salep, bahan kimia berkhasiat (bubuk mesiu, pestisida, dll), (gerabah) glasir, obat (ilegal); narkotika, suap kecil"
"ください";"kudasai";"tolong (berikan aku), tolong (lakukan untukku)"
"くだもの";"kudamono";"buah"
"くち";"kuchi";"mulut, membuka; lubang; celah, mulut (dari botol); menyemburkan; nozel; corong, gerbang; pintu; pintu masuk; keluar, berbicara; pidato; bicara (yaitu gosip), rasa; langit-langit, mulut (untuk memberi makan), bukaan (yaitu kekosongan); posisi yang tersedia, undangan; panggilan, jenis; menyortir; ketik, pembukaan (yaitu awal), penghitung untuk suapan, bagian (uang), pembakar kompor, dan pedang"
"くつ";"kutsu";"sepatu; sepatu bot; alas kaki ; tekuk; bengkok; mendekam ; menggali; menggali gua ; keras kepala ; tinggi & tinggi (pegunungan)"
"くつした";"kutsushita";"kaus kaki; stoking"
"国";"kuni";"negara; negara bagian, wilayah, pemerintahan nasional; pemerintah pusat, negara asal (yaitu kampung halaman, negara asal), provinsi (Jepang), tanah; bumi"
"くもり";"kumori";"keadaan mendung; cuaca mendung, kabut (di cermin, kacamata, dll); awan (misalnya pada marmer); mengaburkan; kabut; bayangan; keremangan, kesuraman; kekesalan"
"くもる";"kumoru";"menjadi berawan; menjadi berkabut; menjadi mendung, menjadi mendung; untuk berkabut; menjadi redup, menjadi suram; menjadi mendung (ekspresi); menjadi tertunduk, melihat sedikit ke bawah (dari topeng noh; menunjukkan kesedihan, kesedihan, dll.)"
"くらい";"kurai";"gelap; muram; keruh, depresi; putus asa; turun dalam kesedihan; gelap (suasana hati), gelap (berwarna); membosankan, tidak menyenangkan; gelap (misalnya masa lalu); mencurigakan, tidak mungkin (berhasil); tanpa harapan; tidak menjanjikan, tidak familier (dengan); bodoh (dari) ; takhta; mahkota; kursi (bangsawan), posisi pemerintahan; pangkat pengadilan, kedudukan sosial; pangkat; kelas; eselon; anak tangga, tingkat (kualitas, dll.); tingkat; peringkat, posisi suatu angka (misalnya puluhan, ribuan); angka; (desimal) tempat, derajat; cakupan; jumlah ; sekitar; tentang; atau lebih, sampai (kira-kira) sejauh; (hampir) cukup itu; sehingga...; setidaknya, sebagai... sebagai...; menyukai ; meremehkan, mengabaikan; sedikit"
"来る";"kuru ; kitaru";"akan datang (secara spasial atau temporal); untuk mendekati; untuk tiba, untuk kembali; untuk melakukan... dan kembali, menjadi; untuk menjadi; mendapatkan; untuk tumbuh; untuk melanjutkan, berasal dari; disebabkan oleh; untuk berasal dari, untuk datang ke (yaitu "ketika berbicara tentang bayam...") ; berikutnya (misalnya, "April mendatang"); akan datang, akan datang; untuk tiba; karena"
"車";"kuruma ; sha";"mobil; kendaraan, roda"
"くろ";"kuro";"hitam, batu hitam, rasa bersalah; orang yang bersalah ; dalam, mendalam, muskil; KangXi radikal 95 ; hitam; gelap; jahat ; pakaian hitam, pendeta ; punggungan tanah di antara sawah, punggung bukit di antara alur di ambang pintu atau ambang pintu, jalan setapak di antara sawah; jalan lintas"
"くろい";"kuroi";"hitam gelap; kehitaman; kecokelatan (kulit), mencurigakan; pidana; terlarang, gelap dan kotor; hitam; berlumuran kotoran, jahat; berhati hitam, tidak menguntungkan; beralasan buruk; sial ; hitam; gelap; jahat"
"けいかん";"keikan";"pemandangan ; polisi ; jarak antara dua titik; jarak antara penyangga lengkungan, jembatan yang berlawanan; menjangkau ; mengundurkan diri dari jabatan pemerintahan ; aliran gunung; lembah ; hubungan seks homoseksual antar laki-laki; kereta; liwat ; tabung makanan ; pejabat publik yang ditempatkan di ibu kota (di bawah sistem ritsuryō) ; sanggul (rambut); jambul ; saluran serviks ; mahkota pohon salam ; jurang ; mahkota duri ; kuat dan ganas ; jengger; puncak"
"けさ";"kesa";"pagi ini ; kasaya; stola biksu, mengenakan pakaian dengan cara yang sama seperti kasaya (yaitu disampirkan di satu bahu)"
"けす";"kesu";"untuk menghapus; mencoret, mematikan (daya); untuk mematikan, untuk memadamkan, untuk menabrak ; untuk berubah menjadi; untuk mengkonversi ke; untuk mengubah; untuk dikurangi; pengaruh; untuk meningkatkan (seseorang)"
"けっこう";"kekkou";"bagus sekali; Bagus; luar biasa; lezat; manis, cukup; baiklah (dalam arti “Saya baik-baik saja”); (implikasinya) tidak, terima kasih, cukup baik; OKE; lumayan, cukup; wajar; secara adil; lumayan, konstruksi; Arsitektur ; pembatalan kuliah atau kelas ; pembatalan (penerbangan atau perjalanan laut) ; melakukan (dengan tekad); melaksanakan (misalnya rencana) ; peredaran darah (darah) ; persaingan (antara dua pihak yang sama kuatnya); perjuangan untuk supremasi; bersaing (dengan); berlomba-lomba (dengan); menjadi pasangan yang setara (untuk), naik dan turunnya (seekor burung)"
"けっこん";"kekkon";"pernikahan ; noda darah"
"げつようび";"getsuyoubi";"Senin"
"げんかん";"genkan";"pintu masuk; pintu depan; jalan masuk; aula masuk; ruang depan; beranda; lobi; ruang lumpur ; desensitisasi; hiposensitisasi ; ruanxian (kecapi Cina senar 4 atau 5) ; sangat dingin"
"げんき";"genki";"hidup; penuh semangat; energik; kuat; vital; bersemangat, sehat; bugar; dalam keadaan sehat ; Era Genki (1570.4.23-1573.7.28) ; kemunduran ; masa ; standar (untuk berat dan ukuran) ; sok aksi; kesombongan"
"こうえん";"kouen";"mendukung; dukungan ; taman (umum). ; pertunjukan publik, pameran di luar negeri ; kuliah; alamat; pidato ; bangsawan; mulia ; asap dupa ; tepi mangkuk atau bejana, peristome ; pulang dari taman kanak-kanak; pulang dari TK ; kuning krom ; ruang kuliah ; cahaya dan nyala api ; presentasi lisan ; sariawan; stomatitis ; Penampilan yang bagus ; luas dan jangkauannya jauh ; nyala merah, (matahari) menonjol"
"こうさてん";"kousaten";"persimpangan"
"こうちゃ";"koucha";"teh hitam"
"こうばん";"kouban";"kotak polisi; koban; kantor polisi lingkungan kecil, bergantian, bergantian (arus, stres, dll.) ; lembaran baja; pelat baja ; meninggalkan gundukan; tersingkir, pengunduran diri; mengundurkan diri; menarik diri ; seng sulfat heptahidrat; vitriol putih ; Nomor barang ; nampan dupa; pembakar dupa, program (teater), pengaturan tempat duduk (di teater)"
"こえ";"koe";"suara, nyanyian (burung); kicau (dari seekor serangga); teriakan, suara; pendapat (seperti yang diungkapkan dengan kata-kata); melihat; mengharapkan; sikap; akan, berbunyi, merasakan (kedatangan sesuatu); perasaan, suara; suara bersuara ; pupuk; tanah malam; kotoran ; suara, kebisingan, partikel akhir ; partikel akhir seruan, cerewet ; lonceng batu"
"ここ";"koko";"Di Sini; tempat ini, titik ini; Di Sini; sekarang, yang lalu... (misalnya tiga tahun); ini yang terakhir..., berikutnya... (misalnya beberapa hari); ini selanjutnya... ; sembilan; 9 ; individu; satu per satu; memisahkan; setiap ; tangisan bayi saat lahir ; setiap rumah"
"九日";"kokonoka ; kokonuka";"tanggal 9 setiap bulan, 9 hari"
"九つ";"kokonotsu";"sembilan, sembilan tahun, jam dua belas (sistem waktu lama)"
"こたえる";"kotaeru";"untuk merespon; untuk menjawab; untuk memenuhi (misalnya tuntutan, harapan), untuk mempengaruhi; untuk mengambil korban; untuk menyerang rumah; untuk berdampak pada; bersikap keras terhadap seseorang (misalnya panas, dingin, pekerjaan, penyakit, dll.); menjadi ketegangan ; untuk menanggung; berdiri; untuk bertahan; untuk menahan, untuk menahan; kontrol; untuk mengawasi, memaafkan; untuk bertahan; untuk memaafkan ; untuk menjawab; membalas"
"こちら";"kochira";"cara ini; arah ini, di sini, ini (satu), saya; Kami, orang ini"
"こっち";"kocchi";"cara ini; arah ini, di sini, ini (satu), saya; Kami, orang ini ; Tiba-tiba"
"今年";"kotoshi ; konnen";"tahun ini"
"ことば";"kotoba";"bahasa; dialek, kata; frasa; ekspresi; istilah, ucapan; (cara) berbicara; (penggunaan) bahasa, kata-kata; komentar; penyataan, belajar berbicara; penguasaan bahasa"
"こども";"kodomo";"anak ; anak; orang kecil, kurcaci; cebol, orang yang berpikiran sempit; orang yang jahat ; vertikal, Nak"
"この";"kono";"sembilan; 9 ; ini, terakhir (beberapa tahun, dll.); ini; masa lalu, kamu (seperti dalam "kamu pembohong") ; ini, dengan demikian, itu; untuk memotong; partikel yang tegas"
"こまる";"komaru";"menjadi bermasalah; mengalami kesulitan; berada dalam perbaikan; menjadi bingung; menjadi malu, diganggu; menjadi tidak nyaman; menjadi kesal, menjadi buruk; menjadi sulit; berada dalam keadaan yang sulit ; komaru (jenis kartu remi)"
"これ";"kore";"ini; yang ini, orang ini, sekarang; titik ini (dalam waktu), di sini, digunakan untuk menekankan subjek kalimat, I; Saya ; Hai; oi; Ayo; Lihat; mendengarkan ; ini, dengan demikian, itu; untuk memotong; partikel yang tegas ; beberapa ; bagaimana, mengapa, lalu ; meskipun, bagaimanapun"
"今月";"kongetsu";"bulan ini"
"今週";"konshuu";"minggu ini"
"こんな";"konna";"semacam ini; seperti ini; seperti"
"こんばん";"konban";"malam ini"
"五";"go ; itsu ; uu";"lima; 5"
"午後";"gogo";"sore; pm."
"午前";"gozen";"Pagi; saya."
"ごはん";"gohan";"nasi, makanan ; makan siang ; salah pikiran; penilaian yang salah; kegagalan keadilan"
"さあ";"saa";"datang; datang sekarang; ikut; Lanjutkan; cepatlah, baiklah; siapa tahu; Aku tidak tahu...; eh; hmm, baiklah sekarang; Mari kita lihat; ini dia; baiklah, tentang itu; kamu melihat"
"さいふ";"saifu";"tas kecil; tas tangan; dompet ; menyalin dalam notasi musik; menyalin (sebuah lagu)"
"魚";"sakana ; uo";"ikan"
"先";"saki ; sakki ; sen";"titik; tip; akhir; nozzle, kepala (dari garis); depan, pertama; sebelum; di depan (dari), (jalan) di depan; melampaui, masa depan, sebelumnya; mantan; terkini; terakhir, tujuan, peristirahatan (misalnya sebuah cerita); kelanjutan; bagian yang tersisa, pihak lain ; beberapa waktu yang lalu; beberapa saat; baru saja; beberapa waktu lalu ; mantan; sebelumnya; lama, langkah pertama (dalam go, shogi, dll.); gerakan pembukaan"
