"愛";"ai ; mana";"Cinta; kasih sayang; perawatan, keterikatan; keinginan, agape, Irlandia ; kesayangan; Sayang"
"済";"zumi ; sumi";"diatur; diurus; mapan; lengkap; selesai"
"背";"se ; sei";"kembali, mundur; bagian belakang; punggung (misalnya kursi); tulang belakang (buku), tinggi; perawakan, punggung bukit (dari gunung)"
"性";"sei ; shou ; narikuse ; saga";"sifat (seseorang), jenis kelamin; gender, jenis kelamin (yaitu ketertarikan seksual, aktivitas, dll.), gender, -ty; -itas; -keberadaan; -cy ; alam; watak; perangai; karakter, kualitas, yang tidak berubah menurut pengaruh eksternal ; watak; alam; karakter ; sifat seseorang; takdir, kebiasaan seseorang; tradisi; kebiasaan; Konvensi"
"静";"sei ; shizu";"keheningan, tenang; kedamaian ; diam; tenang; tetap"
"制";"sei";"sistem; organisasi; perintah kekaisaran; hukum; peraturan; kontrol; pemerintah; penekanan; pengekangan; menahan; pembentukan"
"精";"sei";"roh; sprite; bidadari, energi; kekuatan (kekuatan); kekuatan, detail halus, air mani"
"関";"seki ; zeki ; kan";"penghalang; gerbang, seki (dalam perjalanan); kehidupan bersama ; kehormatan ditambahkan ke nama pegulat divisi makuuchi dan jurio"
"責";"seki";"tanggung jawab; tugas; kewajiban"
"席";"seki ; mushiro";"tempat duduk, lokasi (pertemuan, dll.); tempat, posisi; pos ; tikar anyaman (khususnya yang terbuat dari jerami), tempat duduk"
"積";"seki";"produk, volume; daerah"
"説";"setsu";"teori; doktrin, pendapat; lihat, rumor; isu; gosip; kabar angin"
"選";"sen";"pilihan; memilih; pemetikan"
"絶";"zetsu";"bidang awal yang berisi kartu 20 poin bulan November dan/atau Desember"
"全";"zen";"semua; utuh; seluruh; menyelesaikan; total; pan-, lengkap (set); secara keseluruhan"
"祖";"so ; oya";"leluhur; nenek moyang, pencetus; pelopor; penemu; pendiri, kakek ; induk; orang tua; ibu dan ayah, dealer (dalam kartu, mahjong, dll.); bankir, pendiri; penemu, (hewan peliharaan) pemilik, kunci; organisasi orang tua); utama, leluhur; nenek moyang"
"想";"sou";"pembuahan; ide; pikiran, samjna (persepsi)"
"候";"sourou ; sourau ; kou ; soro ; sau ; su";"untuk melayani (di sisi atasan), menjadi, melakukan ; musim; cuaca ; menjadi, untuk melakukan"
"速";"soku";"gigi; kecepatan (misalnya transmisi 4 kecepatan)"
"育";"soda.tsu ; soda.chi ; soda.teru ; haguku.mu ; iku";"menghasilkan, melahirkan; mendidik"
"備";"sona.eru ; sona.waru ; tsubusa.ni ; bi";"bersiap, siap, sempurna"
"園";"sono ; en";"taman (khususnya buatan manusia); kebun buah-buahan; taman; perkebunan, tempat; lokasi"
"側";"soba ; soku ; hata ; gawa ; kawa ; katawara";"di dekat; menutup; di samping; sekitarnya; kedekatan; di samping itu; sementara, orang ketiga ; sisi (dari sesuatu, atau memihak seseorang); bagian, (jam tangan) kotak ; prinsip pertama dari Delapan Prinsip Yong; garis kecil atau bintik ; samping; tepian; di samping; di samping itu; di dekatnya, sambil (melakukan); sebagai tambahan; pada saat yang sama"
"増";"zou";"meningkatkan"
"続";"zoku ; shoku";"kelanjutan; sekuel"
"他";"ta ; hoka";"lainnya (khususnya orang dan hal-hal abstrak) ; lainnya (tempat, benda, orang); sisanya; dkk., luar; di luar, tidak ada kecuali; tidak ada, tapi; tidak lain adalah; tidak ada apa pun selain; tidak ada pilihan (selain), selain...; sebagai tambahan..."
"対";"tai ; tsui";"di depan; oposisi, versus; vs.; v., ke (misalnya "memenangkan pertandingan lima lawan tiga"), kedudukan yang sama; persamaan, melawan...; anti-; ke arah...; ke... ; pasangan; set, antitesis, counter untuk barang-barang yang datang berpasangan, counter untuk set (pakaian, perabot kecil, perkakas, dll.)"
"互";"taga.i ; katami.ni ; go";"saling, timbal balik"
"宅";"taku";"rumah, rumah seseorang, suaminya"
"確";"tashika ; kaku";"Tentu; yakin; positif; pasti, dapat diandalkan; dapat dipercaya; aman; suara; tegas; tepat; benar, Kalau tidak salah; Jika saya ingat dengan benar ; yakin; pasti"
"達";"tachi ; dachi";"akhiran jamak (khususnya untuk manusia dan hewan; sebelumnya kehormatan) ; teman"
"種";"tane ; kusa ; shu";"benih (misalnya tanaman); pip; baik; variasi; kualitas; nada, bahan (misalnya untuk artikel); materi (misalnya sebuah cerita); subjek; tema; (berita) salinan, bahan; ragi (roti); bahan utama penyebab sushi, ; sumber, trik; rahasia; trik pesulap; cerita di dalam, darah ayah; garis keturunan, keturunan (dari suatu ternak); sperma; air mani, kartu 10 poin; tan; kartu binatang ; menyebabkan; benih; asal, variasi; jenis, penghitung untuk varietas ; baik; keanekaragaman, (biologis) spesies, (logis) spesies"
"頼";"tano.mu ; tano.moshii ; tayo.ru ; rai";"mengandalkan, bergantung pada; menuduh secara salah"
"束";"taba ; soku ; tsuka";"bundel; kelompok; gabung ; kisi, penghitung untuk bungkusan besar (misalnya 10 ikat beras, 200 lembar kertas kaligrafi, 20 anak panah peluit, 100 ikan), lebar tangan (satuan untuk mengukur panjang anak panah) ; topangan; tiang vertikal pendek, ketebalan (buku dikurangi sampul, selembar kertas, dll.), lebar tangan; bundel"
"偶";"tamatama ; guu";"kadang-kadang; sesekali; jarang, dengan santai; tiba-tiba; secara tidak sengaja; kebetulan ; sesekali; jarang; langka ; nomor genap, pasangan"
"適";"tamatama";"kadang-kadang; sesekali; jarang, dengan santai; tiba-tiba; secara tidak sengaja; kebetulan ; sesekali; jarang; langka"
"民";"tami ; min";"rakyat; warga; mata pelajaran ; warga negara; penduduk; orang, pengguna (dari sebuah situs web, khususnya secara kolektif, misalnya Twittersphere)"
"単";"tan ; hitoe";"lajang; sederhana, tunggal (tenis, bulu tangkis, dll.), taruhan menang (taruhan yang memprediksi pemenang suatu perlombaan) ; satu lapisan; satu lapis, monopetalous, kimono tidak bergaris, kelopak mata bermata satu; kelopak mata dengan lipatan epikantik; kelopak mata atas tanpa lipatan"
"抱";"da.ku ; ida.ku ; kaka.eru ; hou";"merangkul, berpegangan tangan"
"誰";"dare ; daare ; tare";"WHO"
"断";"dan";"keputusan; pertimbangan; resolusi"
"談";"dan";"bicara; cerita; percakapan"
"段";"dan ; tan";"melangkah; anak tangga; (penerbangan) langkah; (barisan) jahitan; kolom (cetakan), nilai; pangkat; level, penghitung jeda dalam bahasa tertulis (atau ucapan, dll.), dan; peringkat senior dalam seni bela diri, go, shogi, dll. ; ukuran kain yang bervariasi (lebar 28,8 cm); untuk kimono: panjangnya minimal 10 m; untuk haori: panjangnya minimal 7,27 m; untuk pakaian lainnya: panjang minimal 6,06 m, 300 tsubo (991,74 meter persegi, 0,24506 hektar), enam ken (10,91 m)"
"治";"chi";"politik; pemerintah; administrasi; aturan, perdamaian, perawatan medis; menyembuhkan"
"違";"chiga.u ; chiga.i ; chiga.eru ; -chiga.eru ; taga.u ; taga.eru";"tidak taat, melanggar, menentang; terpisah dari"
"調";"chou";"melempar; nada; kunci, waktu; tempo, suasana hati; kecenderungan; gaya, pajak dibayar dalam bentuk barang (periode ritsuryo); pertama pajak atas sawah dan rumah tangga, kemudian pajak perorangan"
"告";"tsu.geru ; koku";"beritahu, umumkan, informasikan; menuduh"
"疲";"tsuka.reru ; -duka.re ; tsuka.rasu ; hi";"merasa lelah, kelelahan; lemah"
"付";"tsuki ; duke ; duki";"dilengkapi dengan; termasuk, melekat pada, kesan; penampilan, keberuntungan, sosialitas, di bawah; asisten (misalnya manajer), basis sup ; bertanggal (misalnya surat); tanggal berlakunya (misalnya perubahan peraturan)"
"次";"tsugi ; ji";"Berikutnya; mengikuti; tahap, berikutnya; stasiun ; next, hypo- (yaitu mengandung elemen dengan valensi rendah), order; urutan; waktu"
"伝";"tsute ; den";"sarana untuk melakukan kontak; perantara, koneksi; pengaruh; menarik; kantor yang bagus ; legenda; tradisi, biografi; metode kehidupan, ; cara, transportasi kuda dan sistem relai komunikasi yang digunakan di Jepang kuno"
"務";"tsuto.meru ; mu";"urusan, bisnis; harus"
"勤";"tsuto.meru ; -duto.me ; tsuto.maru ; iso.shimu ; kin ; gon";"rajin, tekun, penuh perhatian"
"常";"tsune ; toko ; tada ; towa";"keadaan biasa ; konstan; tidak berubah; abadi ; biasa; umum, gratis, tidak terpengaruh; dengan adanya; aman, saja; hanya; sederhananya, tetapi; Namun; namun demikian ; keabadian, era Eikyu (1113.7.13-1118.4.3)"
"妻";"tsuma ; me ; sai ; sobame";"istri, sayangku; madu, hiasan (khususnya yang disajikan dengan sashimi), hiasan ; perempuan, lebih kecil (dari keduanya); lebih lemah, wanita, istri ; istri seseorang ; tepian; tip; ujung, dinding atap pelana, atap pelana ; nyonya; bini piaraan; selir, pelayan wanita dekat"
"罪";"tsumi ; zai";"kejahatan; dosa; pelanggaran; kecerobohan, penalti; kalimat; hukuman, kesalahan; tanggung jawab, kesembronoan; kurangnya pertimbangan"
"点";"ten ; chobo ; pochi ; potsu";"dot; titik; bintik; tanda, tandai (dalam ujian, dll.); nilai; skor; poin, poin (dalam permainan); skor; sasaran; lari, titik (dalam geometri), titik; aspek; urusan; rincian; bagian; menghormati; jalan; sudut pandang, (tanda baca) (misalnya koma, titik, koma desimal); titik, Goresan "titik" (dalam karakter Cina), penghitung untuk poin, tanda, sasaran, dll., penghitung untuk barang, benda, pakaian, karya seni, dll. ; dot; titik; mark, gidayū musisi (dalam kabuki) ; dot; titik; tandai, tip; gratifikasi, sedikit; remeh; belaka"
"途";"to ; do ; michi";"jalan; rute ; jalan; jalur, rute; cara, jarak; perjalanan, jalan (misalnya menuju kemenangan); jalan, cara (hidup, perilaku yang baik, dll.); prinsip-prinsip moral, ajaran (khususnya Konfusianisme atau Budha); bidang dogma, (misalnya kedokteran); subjek; spesialisasi, berarti; jalan; metode"
"閉";"to.jiru ; to.zasu ; shi.meru ; shi.maru ; ta.teru ; hei";"tutup; menghalangi"
"捕";"to.raeru ; to.rawareru ; to.ru ; tora.eru ; tora.wareru ; tsuka.maeru ; tsuka.maru ; ho";"menangkap, menyita"
"投";"tou";"kemampuan melempar, penghitung lemparan"
"当";"tou ; hata";"ini; kita; itu... yang dimaksud; yang berkata..., benar; keadilan ; atau; jika tidak, selanjutnya; juga, mungkin; secara kebetulan, itulah yang dikatakan; bagaimanapun juga, ; tapi, belum lagi; tak perlu dikatakan, seperti yang diharapkan; tentu saja, sungguh; sama sekali"
"頭";"tou ; atama ; kashira ; gashira ; dotama ; kabushi ; kaburi ; tsumuri ; tsuburi ; koube ; zu";"counter untuk hewan besar (misalnya kepala sapi); penghitung serangga dalam koleksi; counter untuk helm, masker, dll. ; kepala, rambut (di kepala), pikiran; otak; kecerdasan, pemimpin; ketua; bos; kapten, atas; tip, awal; mulai, kepala; orang, uang muka; deposit, komponen struktur atas dari pasangan kanji ; atas...; kepala..., saat itu... ; kepala; kubah; kacang; bangsawan; piala kecil ; bentuk kepala seseorang"
"遠";"too";"jauh"
"得";"toku";"laba; keuntungan; memperoleh, kelahiran kembali di surga, memasuki nirwana ; mendapatkan; untuk memperoleh; untuk pengadaan; untuk mendapatkan; untuk menang; untuk mengamankan; untuk mencapai, menjadi mungkin"
"所";"toko ; tokoro ; sho";"tempat; titik; pemandangan; lokasi, alamat, distrik; daerah; lokalitas, rumah, titik; aspek; samping; segi, bagian (dalam teks); bagian, ruang; kamar, benda; masalah, setelahnya; sebagai hasilnya, akan; di ambang, baru saja melakukan; sedang dalam proses melakukan; baru saja selesai; baru saja selesai melakukannya ; counter untuk tempat"
"処";"tokoro ; dokoro";"tempat; titik; pemandangan; lokasi, alamat, distrik; daerah; lokalitas, rumah, titik; aspek; samping; segi, bagian (dalam teks); bagian, ruang; kamar, benda; masalah, setelahnya; sebagai hasilnya, akan; di ambang, baru saja melakukan; sedang dalam proses melakukan; baru saja selesai; baru saja selesai melakukannya ; restoran; spesialis"
"突";"to";"sangat; banyak"
"富";"tomi";"kekayaan; keberuntungan, sumber daya, lotere"
"供";"tomo";"pendamping; pengikut; pembantu; rombongan"
"取";"tori ; dori ; shu";"memukau; pengambil; mengumpulkan; pengumpul; penghilang; penghapusan, pemain terakhir hari itu (biasanya pemain bintang); penampilan terakhir hari ini, pasangan aktif (misalnya dalam demonstrasi judo), awalan yang tegas atau formal ; samurai menerima nasi sebanyak ini sebagai bayaran, persembahan kue beras berisi nasi sebanyak ini, orang yang menerima uang sebanyak ini sebagai gaji ; pemberian; memperoleh"
"共";"domo ; tomo ; goto ; guchi ; mita ; muta";"orang pertama jamak (atau tunggal), orang kedua atau ketiga jamak (menyiratkan bahwa pembicara mempunyai status lebih tinggi daripada yang dimaksud) ; bersama dengan, sama, keduanya; semua; juga tidak; tidak ada, termasuk... ; termasuk...; dengan...; termasuk;...dan semua ; bersama dengan..."
"鳴";"na.ku ; na.ru ; na.rasu ; mei";"tangisan burung atau binatang; Bersuara"
"成";"na.ru ; na.su ; -na.su ; sei ; jou";"selesai, diperbaiki"
"慣";"na.reru ; na.rasu ; kan";"kebiasaan, adat istiadat; biasanya"
"内";"nai ; uchi";"di dalam ; di dalam; dalam, saat (misalnya seseorang masih muda); selama; dalam waktu (misalnya sehari); dalam perjalanan, di antara; diantara; (dari; antara, dalam (rahasia, kekacauan, kemiskinan, dll); di tengah; dengan (misalnya kesuksesan), di dalam diri sendiri; perasaan seseorang; pikiran batin, kita; perusahaan kita; organisasi kami, rumah seseorang; keluarga seseorang, pasangan saya; suami saya; istri saya, ditandatangani atas nama (nama suami) oleh istri, saya; aku, halaman istana kekaisaran, kaisar"
"存";"nagara.eru ; a.ru ; tamo.tsu ; to.u ; son ; zon";"ada, hidup, menjadi; bertahan hidup; tetap"
"難";"nan";"kesulitan; masalah, kecelakaan; bencana; bahaya, kesalahan; cacat, kritik"
"似";"ni";"tampak seperti (seseorang); mengambil setelah (salah satu dari orang tuanya)"
"逃";"ni.geru ; ni.gasu ; noga.su ; noga.reru ; tou";"melarikan diri; menghindar"
"庭";"niwa";"kebun; halaman, lapangan (aksi); daerah"
"任";"nin";"kewajiban; tugas; mengenakan biaya; tanggung jawab"
"抜";"nu.ku ; -nu.ku ; nu.ki ; nu.keru ; nu.kasu ; nu.karu ; batsu ; hatsu ; hai";"mencabut"
"盗";"nusu.mu ; nusu.mi ; tou";"merampok, mencuri; pencuri, bandit"
"寝";"ne ; shin ; nu";"tidur ; tidur; Pergi tidur"
"猫";"neko ; nekoma";"kucing (khususnya kucing domestik, Felis catus), shamisen, geisha, gerobak dorong, penghangat tempat tidur tanah liat, bawah; pasangan yang patuh dalam hubungan homoseksual"
"熱";"netsu ; nechi";"panas, demam; suhu, semangat; gairah; antusiasme; kegilaan; menggila; kemarahan"
"眠";"nemu.ru ; nemu.i ; min";"tutup mata, tidur; hibernasi"
"念";"nen";"nalar; ide; pikiran; perasaan, keinginan; perhatian, perhatian; peduli"
"能";"nou";"bakat; hadiah; fungsi, noh (teater)"
"演";"noberu ; en";"tampil, kenakan; latihan"
"登";"nobo.ru ; a.garu ; tou ; dou ; shou ; chou";"naik, memanjat"
"葉";"ha ; you";"daun; bilah (dari rumput); (pinus) jarum ; counter untuk dedaunan, potongan kertas, dll., counter untuk perahu"
"破";"ha";"(dalam gagaku atau noh) bagian tengah sebuah lagu"
"歯";"ha ; shi ; yowai";"gigi ; usia gigi, ; bertahun-tahun ; usia (seseorang)."
"敗";"hai";"kehilangan; kekalahan, penghitung kerugian"
"箱";"hako";"kotak; kasus; dada; kemasan; peti, gerbong (kereta api, dll.), kotak shamisen, gedung umum; pembangun komunitas, pria yang membawa shamisen geisha, wadah untuk kotoran manusia; feses (tinja), penghitung untuk kotak (atau benda dalam kotak)"
"恥";"haji";"malu; rasa malu; aib"
"働";"hatara.ku ; dou";"tenaga kerja; bekerja"
"初";"hatsu ; ui ; ubu ; zome";"Pertama; baru ; tidak bersalah; naif; sederhana; tidak berpengalaman; hijau; basah di belakang telinga, lahir- ; perbuatan pertama... (pernah, dalam hidup seseorang, di tahun baru, dll.)"
"放";"hana.su ; -ppana.shi ; hana.tsu ; hana.reru ; ko.ku ; hou.ru";"letakkan, lepaskan, bebaskan"
"原";"hara ; gen ; bara";"bidang; polos; padang rumput; padang di kutub; tegalan; gurun ; asli; primitif; utama; mendasar; mentah ; diakhiri dengan kata-kata yang menunjukkan sekelompok orang untuk menciptakan bentuk jamak (khususnya dalam konteks tidak sopan)"
"腹";"hara";"perut, rahim, pikiran seseorang; niat sebenarnya seseorang; motif sejati, keberanian seseorang; saraf; kemauan, kemurahan hati, perasaan; emosi, bagian tengah yang lebar; bagian yang menonjol, di dalam; pedalaman; bagian dalam, anti simpul, penghitung untuk telur keras, penghitung untuk wadah dengan bagian tengah menonjol (pot, vas, dll.)"
"払";"hara.u ; -hara.i ; -bara.i ; futsu ; hitsu ; hotsu";"kibaskan, singkirkan; debu"
"晴";"hare";"Cuaca cerah, formal; upacara; publik, bebas dari kecurigaan"
"犯";"han";"pelaku (beberapa) kejahatan; (beberapa jenis) kejahatan"
"判";"han ; ban";"segel; stempel; tanda tangan monogram, penilaian, ukuran (kertas atau buku)"
"反";"han ; tan";"anti-, antitesis, fanqie; sistem ejaan tradisional Tiongkok yang menggunakan dua karakter: karakter pertama untuk permulaan, karakter kedua untuk rima dan nada ; ukuran kain yang bervariasi (lebar 28,8 cm); untuk kimono: panjangnya minimal 10 m; untuk haori: panjangnya minimal 7,27 m; untuk pakaian lainnya: panjang minimal 6,06 m, 300 tsubo (991,74 meter persegi, 0,24506 hektar), enam ken (10,91 m)"
"散";"bara";"barang lepas (tidak dikemas dengan barang lain); barang curah; item individu, koin; uang receh"
"番";"ban ; tsugai";"nomor (dalam satu seri), giliran(seseorang), jam tangan; penjaga; pengintai, peringkat; kedudukan; posisi, pertarungan; korek api, potongan (dalam koleksi) ; berpasangan (khususnya hewan yang dikawinkan); penjepit; pasangan, (anatomi) sendi"
"晩";"ban";"malam, makan malam, konter untuk malam hari"
"飛";"hi";"benteng"
"悲";"hi";"karuna (kasih sayang)"
"費";"hi ; atae ; atai";"biaya; pengeluaran ; Atai (gelar turun temurun pasca-Taika yang sering diberikan kepada pengurus daerah)"
"否";"hi ; iie ; iiya ; ina";"TIDAK ; TIDAK, baiklah; eh; kenapa, sama-sama; sama sekali tidak; jangan sebutkan itu"
"非";"hi";"kesalahan, berjalan buruk; tidak menguntungkan; menjadi tidak menguntungkan, tidak-; non-; sebuah-"
"引";"hi.ku ; hi.keru ; in";"untuk menarik, menarik keluar, menarik; untuk meregangkan"
"光";"hikari";"cahaya, pencahayaan; sinar; balok; bersinar; cahaya, kebahagiaan; harapan, pengaruh; kekuatan, visi; penglihatan"
"必";"hitsu";"kepastian"
"冷";"hiya ; rei";"air dingin, sake dingin, dingin; tidak dipanaskan ; kulkas, dingin; keren, sake dingin"
"貧";"hin";"kemiskinan; ingin; kebutuhan, kekurangan"
"美";"bi ; mi";"kecantikan ; Agustus, cantik"
"便";"bin ; yosuga ; yosuka ; ben";"penerbangan (misalnya penerbangan maskapai penerbangan); perjalanan (misalnya perjalanan kereta api); layanan, surat; pos, kesempatan; peluang ; sesuatu untuk diandalkan; bantuan; petunjuk; jalan; berarti, seseorang yang dapat diandalkan; relatif, pengingat; kenang-kenangan ; kenyamanan; melayani; fasilitas; akomodasi, kotoran (khususnya feses); kotoran; bangku"
"負";"fu ; oi";"negatif; dikurangi ; kotak kayu yang dibawa di punggung untuk menyimpan barang-barang haji"
"吹";"fu.ku ; sui";"meniup; engah; menyombongkan diri"
"福";"fuku";"nasib baik; kebahagiaan; anugerah; semoga beruntung"
"太";"futo";"gemuk; berlemak, agung; bagus sekali"
"船";"fune";"mengirimkan; kapal; perahu; pesawat amfibi, tangki; bak mandi; tong; palung, penghitung untuk wadah berbentuk perahu (misalnya sashimi)"
"部";"bu ; be";"departemen (dalam suatu organisasi); divisi; biro, klub, bagian; komponen; elemen, kategori, penghitung untuk salinan surat kabar atau majalah ; kelompok pekerjaan turun-temurun (zaman Yamato)"
"規";"bunmawashi ; ki";"aturan, peraturan, adat istiadat, hukum"
"平";"hei ; daira ; hira";"tahun ke-n di era Heisei (1989.1.8-2019.4.30) ; polos; dataran; dataran tinggi ; sesuatu yang luas dan datar, umum; biasa; polos; pegawai biasa, pegawai berpangkat rendah; mahasiswa baru; pemula; pribadi"
"返";"hen";"berkali-kali ; membalas; menjawab"
"変";"hen";"aneh; penasaran; eksentrik; lucu; mencurigakan, tak terduga, perubahan, insiden; gangguan; bencana; kecelakaan, datar"
"法";"hou ; nori";"hukum; bertindak; prinsip, metode, suasana hati, dharma; hukum ; aturan; hukum; peraturan, model; pola, ajaran Buddha; Doktrin Buddha, pengukuran melintang, kemiringan samping"
"報";"hou";"informasi; berita; laporan, hadiah; retribusi"
"程";"hodo";"cakupan; derajat; mengukur, batas, (rentang) waktu, (a) jarak, keadaan; status dari; kondisi, tentang; sekitar; atau lebih, sebanyak...; sebatas...; seperti..., semakin...semakin..."
"亡";"bou";"kematian, mendiang; almarhum"
"舞";"mai";"tarian; menari"
"政";"matsurigoto ; sei";"aturan; pemerintah"
"窓";"mado";"jendela"
"招";"mane.ku ; shou";"memberi isyarat, memanggil; merekrut, memungut biaya"
"迷";"mayo.u ; mei";"menyihir, mempesona, tergila-gila"
"満";"man";"penuh, (menghitung) tahun yang diselesaikan (misalnya saat menghitung usia), penuh (tahun, bulan, dll.), Manchuria"
"未";"mi ; hitsuji";"Belum; tidak- ; Domba (tanda kedelapan dari zodiak Cina); domba jantan; jam Kambing, jam Domba (sekitar jam 14.00, 13.00-15.00, atau 14.00-16.00), barat daya, bulan keenam kalender lunar"
"深";"mi ; fuke";"Agustus, cantik ; terlambat"
"路";"michi ; ji ; di";"jalan; jalur, rute; cara, jarak; perjalanan, jalan (misalnya menuju kemenangan); jalan, cara (hidup, perilaku yang baik, dll.); prinsip-prinsip moral, ajaran (khususnya Konfusianisme atau Budha); bidang dogma, (misalnya kedokteran); subjek; spesialisasi, berarti; jalan; metode ; rute; jalan, jarak yang ditempuh dalam sehari, seseorang... (usia, misalnya 40an, 60an) ; jalan, jalan menuju..."
"認";"mito.meru ; shitata.meru ; nin";"mengenali, mengetahui, memahami"
"皆";"mina ; minna";"setiap orang; semua orang; semua, semuanya; semua"
"港";"minato ; kou";"pelabuhan"
"耳";"mimi";"telinga, pendengaran, tepi; kerak, selvedge (tepi kain yang tidak berjumbai); tepi tenunan yg dianyam"
"都";"miyako ; to";"ibu kota (khususnya Kyoto, bekas ibu kota Jepang); pusat pemerintahan, ibu kota (musik, fesyen, dll.); kota (misalnya cahaya), lokasi Istana Kekaisaran ; Metropolis (Tokyo); (Tokyo) Distrik Metropolitan; prefektur metropolitan, konter untuk kota besar dan kecil, ibu kota"
"向";"mu.ku ; mu.i ; -mu.ki ; mu.keru ; -mu.ke ; mu.kau ; mu.kai ; mu.kou ; mu.kou- ; muko ; muka.i";"menuju, arah, tren"
"迎";"muka.eru ; gei";"terima, selamat datang, sapa"
"昔";"mukashi";"masa lalu; mantan"
"娘";"musume ; jou";"anak perempuan, perempuan (yaitu seorang wanita muda yang belum menikah) ; wanita yang belum menikah, Nona, -ess; -ette"
"与";"muta";"bersama dengan..."
"徒";"muda ; tada ; zu ; kachi ; itazura ; to";"kegagalan; limbah; ketidakgunaan; tidak ada gunanya; kemalasan ; biasa; umum, gratis, tidak terpengaruh; dengan adanya; aman, saja; hanya; sederhananya, tetapi; Namun; namun demikian ; penjara (selama 1-3 tahun; hukuman terberat ketiga dari lima hukuman ritsuryō) ; prajurit kaki (zaman Edo); samurai berjalan kaki, berjalan kaki; sedang berjalan ; tidak berguna; sia-sia; tanpa tujuan; menganggur ; berpesta; mengatur; gang; perusahaan; orang ; sia-sia; sementara; sembrono"
"連";"muraji ; ren";"Muraji (gelar turun temurun; asal salah satu dari dua gelar tertinggi, kemudian diturunkan ke peringkat ketujuh tertinggi dari delapan gelar) ; dua rim (kertas); 1000 lembar (kertas), bait; ayat, suku (dalam taksonomi), ramalan (taruhan); taruhan yang memprediksi 2 pemenang teratas (yaitu taruhan quinella atau perfecta), pesta; perusahaan; kelompok; set, hal-hal yang dirangkai dalam satu baris, mis. mutiara, ikan kering, bentang jembatan, dll., elang"
"望";"mochi ; bou";"bulan purnama, hari ke-15 bulan lunar"
"許";"moto ; bakari ; bakashi ; bakkashi ; bakkari";"di bawah (bimbingan, pengawasan, aturan, hukum, dll.), di bawah (bendera, matahari, dll.); di bawah, dengan (misalnya satu pukulan); pada (janji, syarat, asumsi, dsb. bahwa...); di sisi (misalnya nama), (seseorang); lokasi (seseorang). ; hanya; tidak ada, tapi; tidak lebih dari, kira-kira; tentang, baru saja (selesai, dll.), seolah-olah; (seolah-olah) hendak, menunjukkan penekanan, selalu ; sekitar; tentang, hanya, hanya (selesai, dll.)"
"求";"moto.meru ; kyuu ; gu";"mencari; permintaan; memohon"
"戻";"modo.su ; modo.ru ; rei";"jahat"
"守";"mori ; mamori ; kami";"mengasuh anak; pengasuh bayi, melindungi; penyimpanan; penjaga ; perlindungan; pertahanan, pemeliharaan, jimat; pesona ; direktur (gubernur provinsi di bawah sistem ritsuryō)"
"役";"yaku ; eki ; edachi";"peran; penugasan; tanggung jawab; tugas; fungsi; pekerjaan; layanan, posisi (tanggung jawab); pos; bagian kantor, (dalam drama, film, dll.); peran; kombinasi penilaian karakter, (dalam mahjong, permainan kartu, dll.); berbaur; tangan; yaku ; perang; kampanye; pertempuran, pekerjaan tidak berbayar (sistem ritsuryo); pekerja yang dipaksa"
"約";"yaku";"sekitar; tentang, janji; janji temu; pertunangan, pemendekan; pengurangan; penyederhanaan, kontraksi (dalam fonetik)"
"優";"yasa ; yuu";"lembut; penuh kasih sayang ; Sangat baik (nilai); A, superioritas; keunggulan, lembut; anggun, terampil"
"宿";"yado ; shuku";"penginapan; hotel, rumah; tempat tinggal, rumah orang tua pembantu (atau penjamin, dsb.) ; penginapan, stasiun pemancar; kota pos, rasi bintang; rumah besar (dalam astronomi Tiongkok) ; orang buangan umum di sekitar wilayah Kyoto dari periode Kamakura hingga periode Edo"
"雪";"yuki";"salju; salju yg turun"
"指";"yubi ; oyobi ; oyubi ; sashi";"jari; kaki; angka ; antara (misalnya dua orang); tatap muka, hambatan, bagian resitatif aritmia dalam musik noh, bermain hanya dengan 2 pemain, awalan digunakan untuk tekanan atau penekanan, penghitung untuk lagu tari tradisional"
"努";"yume ; do";"tidak pernah; dengan tidak bermaksud ; prinsip ketiga dari Delapan Prinsip Yong; pukulan ke bawah"
"夢";"yume";"mimpi"
"予";"yo";"SAYA"
"余";"yo";"lainnya; lain; tersisa; sisa, lebih; lebih dari, saya"
"呼";"yo.bu ; ko";"tarik napas, buang napas; menelepon, berteriak"
"寄";"yo.ru ; -yo.ri ; yo.seru ; ki";"mengirim, mengirimkan; mengandalkan"
"陽";"you ; hi";"(yang) positif, yang (dalam ramalan Cina), terbuka; tempat yang terlihat; Tempat umum ; matahari; cahaya matahari; sinar matahari"
"欲";"yoku";"ketamakan; keinginan; menginginkan; nafsu makan; kelaparan; ingin"
"横";"yoko";"horizontal (berlawanan dengan vertikal); berbaring, dari sisi ke sisi (bukan dari depan ke belakang); lebar, sisi (kotak, dll.), di samping; ke samping; di sebelah, tidak terhubung"
"因";"yoshi ; yosuga ; yosuka ; in";"alasan; makna; sebab, sepotong informasi yang pernah didengar; Saya mendengarnya...; dikatakan bahwa... ; sesuatu untuk diandalkan; bantuan; petunjuk; jalan; berarti, seseorang yang dapat diandalkan; relatif, pengingat; kenang-kenangan ; menyebabkan; faktor, hetu (penyebab langsung, khususnya sebagai lawan dari kondisi tidak langsung), dasar argumen seseorang (dalam hetuvidya)"
"由";"yoshi";"alasan; makna; sebab, sepotong informasi yang pernah didengar; Saya mendengarnya...; dikatakan bahwa..."
